"","Region","Market","Month","Year","Longitude","Latitude","pkg.wht.bread","pkg.wht.white","pkg.wht.mixed","pkg.wht.blred","pkg.wht.shaja","pkg.wht.unshe","pkg.wht.millw","pkg.wht.millm","pkg.wht.milla","pkg.wht.maltw","pkg.wht.pbula","pkg.wht.allwh"
"907","SNNP","Chana","May",2018,36.11775846,6.226550231,7.38,16,13,14,NA,40,NA,NA,NA,NA,NA,16
"908","SNNP","Arbam- minch ","May",2018,37.5527474,6.024547891,7,22,NA,20.49,NA,28.98,NA,NA,NA,24.1,NA,22
"909","SNNP","Sawla","May",2018,36.87437474,6.300226567,3.34,13.24,NA,15.94,NA,35,NA,NA,NA,NA,NA,13.24
"910","SNNP","Welayita","November",2017,NA,NA,4.75,12.49,NA,12,NA,32,NA,NA,60,23.26,NA,12.49
"911","SNNP","Bodite","November",2017,37.89064905,7.038034865,7.22,12,NA,NA,NA,34.5,NA,NA,60,14.8,NA,12
"912","SNNP","Jinka","November",2017,36.56441614,5.78310286,6.42,13.19,NA,12.21,NA,30.98,NA,NA,NA,19.08,NA,13.19
"913","SNNP","Dimeka","November",2017,36.45041198,4.892522922,5.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"914","SNNP","Masha","November",2017,35.47956686,7.741652627,5.19,13,NA,12,NA,32,NA,13,NA,NA,NA,13
"915","SNNP","Tepi","November",2017,35.36770327,7.320015599,NA,16,NA,14,NA,28.98,17,NA,35,NA,NA,16
"916","SNNP","Boniga","November",2017,36.24008346,7.388535704,6.63,15,14,13.49,NA,35,NA,NA,NA,23.88,NA,15
"917","SNNP","Chana","November",2017,36.11775846,6.226550231,4.83,15,NA,15,NA,40,NA,NA,40,NA,NA,15
"918","SNNP","Arbam- minch ","November",2017,37.5527474,6.024547891,8.86,15,NA,12,NA,30,NA,NA,NA,18.07,NA,15
"919","SNNP","Sawla","November",2017,36.87437474,6.300226567,3.69,12.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.68
"920","SNNP","Welayita","October",2017,NA,NA,5,12.49,NA,10.25,NA,30.98,NA,NA,60,23.53,NA,12.49
"921","SNNP","Bodite","October",2017,37.89064905,7.038034865,5.56,13,NA,NA,NA,30.98,NA,NA,49.96,17.16,NA,13
"922","SNNP","Jinka","October",2017,36.56441614,5.78310286,7.14,10.15,NA,9.74,NA,30.98,NA,NA,NA,19.54,NA,10.15
"923","SNNP","Dimeka","October",2017,36.45041198,4.892522922,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"924","SNNP","Masha","October",2017,35.47956686,7.741652627,5,13,12,12,NA,32,NA,13,NA,NA,NA,13
"925","SNNP","Tepi","October",2017,35.36770327,7.320015599,NA,13,NA,12,NA,30,14,NA,NA,NA,NA,13
