"","Region","Market","Month","Year","Longitude","Latitude","01.1 FOOD_Bread Wheat (Bakery)","01.1.1.2 UNMILLED CEREALS/GRAINS_Wheat White","01.1.1.2 UNMILLED CEREALS/GRAINS_Wheat Mixed","01.1.1.2 UNMILLED CEREALS/GRAINS_Wheat Black (Red)","01.1.1.2 UNMILLED CEREALS/GRAINS_Emmer Wheat (shelled) Aja","01.1.1.2 UNMILLED CEREALS/GRAINS_Emmer Wheat (unshelled)","CEREALS MILLED_Wheat White","CEREALS MILLED_Wheat Mixed","CEREALS MILLED_Emmer Wheat(Aja)","01.2.1.1 COFFEE AND TEA_Malt-Wheat","P R I C E   I N    B I R R_Porridge 'bula' or wheat"
"1","Region","Market","Month","Year","Longitude","Latitude","01.1 FOOD","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","CEREALS MILLED","CEREALS MILLED","CEREALS MILLED","01.2.1.1 COFFEE AND TEA","P R I C E   I N    B I R R"
"1041","BENISHANGUL-GUMUZ","Mambook","January","2019",NA,NA,"6.56","18.00","-","-","-","25.50","-","-","40.00","-","-"
"1042","BENISHANGUL-GUMUZ","Mender- Sebat ","January","2019",NA,NA,"6.51","16.00","-","-","-","30.00","-","-","40.00","-","-"
"1043","BENISHANGUL-GUMUZ","Asossa","January","2019","34.53730603","10.05784932","5.38","19.49","-","-","-","27.00","-","-","60.00","-","-"
"1044","BENISHANGUL-GUMUZ","Bambasi","January","2019","34.73046863","9.751504664","8.49","24.45","-","-","-","-","-","-","48.00","-","-"
"1045","BENISHANGUL-GUMUZ","Kemashi","January","2019","35.85916991","9.515450626","-","-","-","-","-","-","-","-","-","-","-"
"1046","BENISHANGUL-GUMUZ","Agelo- meti ","January","2019","35.77048443","9.640776618","-","-","-","-","-","-","-","-","-","-","-"
"1047","BENISHANGUL-GUMUZ","AVERA","January","2019",NA,NA,"6.65","19.25","-","-","-","27.44","-","-","46.33","-","-"
"1048","SOMALIE","Shinile","July","2018","41.844013","9.686515","-","-","-","16.00","-","-","-","-","-","-","-"
"1049","SOMALIE","Erere","July","2018",NA,NA,"-","18.00","-","-","-","-","27.00","-","-","-","-"
"1050","SOMALIE","Jigjiga","July","2018","42.792342","9.367259","7.50","20.00","-","12.46","-","40.00","-","24.00","-","-","-"
