"","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley White","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Mixed","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Black","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley for Beer","P R I C E   I N    B I R R_Hulled Barley (Temez)","CEREALS MILLED_Barley White","CEREALS MILLED_Barley Mixed","01.2.1.1 COFFEE AND TEA_Malt-Barley","CEREALS UNMILLED_Barley White","CEREALS UNMILLED_Barley Mixed","CEREALS UNMILLED_Barley Black","CEREALS UNMILLED_Barley for Beer","CEREALS UNMILLED_Hulled Barley","P R I C E   I N    B I R R_Malt-Barley"
"716","SNNP","Dilla","September","2016","38.30745962","6.410516676",NA,NA,NA,NA,NA,"-","-",NA,"11.83","-","11.83","9.65","-","32.37"
"717","SNNP","Yirega-¦ chefie ","September","2016","38.1988827","6.16095383",NA,NA,NA,NA,NA,"-","-",NA,"-","-","-","-","-","15.00"
"718","SNNP","Welayita","April","2017",NA,NA,"12.00","10.00","10.00","-","-","-","-","21.76",NA,NA,NA,NA,NA,NA
"719","SNNP","Bodite","April","2017","37.89064905","7.038034865","12.00","10.00","10.00","12.00","-","-","-","17.61",NA,NA,NA,NA,NA,NA
"720","SNNP","Jinka","April","2017","36.56441614","5.78310286","12.19","12.20","12.23","-","10.67","-","-","24.54",NA,NA,NA,NA,NA,NA
"721","SNNP","Dimeka","April","2017","36.45041198","4.892522922","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"722","SNNP","Masha","April","2017","35.47956686","7.741652627","11.49","11.37","10.75","-","20.00","-","-","27.60",NA,NA,NA,NA,NA,NA
"723","SNNP","Tepi","April","2017","35.36770327","7.320015599","11.00","8.00","9.00","-","-","24.00","-","13.39",NA,NA,NA,NA,NA,NA
"724","SNNP","Boniga","April","2017","36.24008346","7.388535704","11.75","10.00","11.00","-","-","-","-","20.18",NA,NA,NA,NA,NA,NA
"725","SNNP","Chana","April","2017","36.11775846","6.226550231","12.00","8.00","8.00","-","-","-","-","9.90",NA,NA,NA,NA,NA,NA
"726","SNNP","Arbam- minch ","April","2017","37.5527474","6.024547891","11.49","9.49","11.49","-","-","-","-","15.00",NA,NA,NA,NA,NA,NA
"727","SNNP","Sawla","April","2017","36.87437474","6.300226567","7.71","8.07","8.40","-","13.79","-","-","15.06",NA,NA,NA,NA,NA,NA
"728","SNNP","Welayita sodo ","August","2016","37.766643","6.86176",NA,NA,NA,NA,NA,"-","-",NA,"11.32","9.00","9.32","-","-","24.60"
"729","SNNP","Bodite","August","2016","37.89064905","7.038034865",NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","10.66","-","-","14.57"
"730","SNNP","Jinka","August","2016","36.56441614","5.78310286",NA,NA,NA,NA,NA,"-","-",NA,"8.72","7.66","9.53","-","-","-"
"731","SNNP","Dimeka","August","2016","36.45041198","4.892522922",NA,NA,NA,NA,NA,"-","-",NA,"11.01","-","-","-","-","-"
"732","SNNP","Masha","August","2016","35.47956686","7.741652627",NA,NA,NA,NA,NA,"-","-",NA,"7.89","7.84","-","-","-","24.04"
"733","SNNP","Tepi","August","2016","35.36770327","7.320015599",NA,NA,NA,NA,NA,"25.00","-",NA,"11.66","9.00","10.00","-","-","-"
"734","SNNP","Boniga","August","2016","36.24008346","7.388535704",NA,NA,NA,NA,NA,"-","-",NA,"11.00","9.00","9.00","-","-","16.95"
"735","SNNP","Chana","August","2016","36.11775846","6.226550231",NA,NA,NA,NA,NA,"-","-",NA,"12.00","8.00","8.00","-","-","15.94"
