"","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley White","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Mixed","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Black","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley for Beer","P R I C E   I N    B I R R_Hulled Barley (Temez)","CEREALS MILLED_Barley White","CEREALS MILLED_Barley Mixed","01.2.1.1 COFFEE AND TEA_Malt-Barley","CEREALS UNMILLED_Barley White","CEREALS UNMILLED_Barley Mixed","CEREALS UNMILLED_Barley Black","CEREALS UNMILLED_Barley for Beer","CEREALS UNMILLED_Hulled Barley","P R I C E   I N    B I R R_Malt-Barley"
"1102","SOMALIE","Jigjiga","October","2016","42.792342","9.367259",NA,NA,NA,NA,NA,"-","-",NA,"15.00","-","-","16.66","-","36.00"
"1103","SOMALIE","Hartshek","October","2016","43.356499","9.161111",NA,NA,NA,NA,NA,"-","-",NA,"-","-","-","-","-","-"
"1104","SOMALIE","Dolo","October","2016","42.059257","4.179211",NA,NA,NA,NA,NA,"-","-",NA,"-","15.00","-","-","-","-"
"1105","SOMALIE","Moyale","October","2016","3.527","39.056",NA,NA,NA,NA,NA,"-","26.57",NA,"13.33","12.00","-","-","-","-"
"1106","BENISHANGUL-GUMUZ","Mambook","October","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"10.00","-","10.00","-","-","-"
"1107","BENISHANGUL-GUMUZ","Mender- Sebat ","October","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"13.00","-","10.00","-","-","-"
"1108","BENISHANGUL-GUMUZ","Asossa","October","2016","34.53730603","10.05784932",NA,NA,NA,NA,NA,"-","-",NA,"10.66","10.00","-","-","-","39.01"
"1109","BENISHANGUL-GUMUZ","Bambasi","October","2016","34.73046863","9.751504664",NA,NA,NA,NA,NA,"-","-",NA,"14.35","-","-","-","-","-"
"1110","BENISHANGUL-GUMUZ","Kemashi","October","2016","35.85916991","9.515450626",NA,NA,NA,NA,NA,"-","-",NA,"-","10.59","-","-","-","-"
"1111","BENISHANGUL-GUMUZ","Agelo- meti ","October","2016","35.77048443","9.640776618",NA,NA,NA,NA,NA,"-","-",NA,"13.84","13.26","-","-","-","-"
"1112","BENISHANGUL-GUMUZ","AVERA","October","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"12.24","11.20","10.00","-","-","39.01"
"1113","SOMALIE","Shinile","September","2016","41.844013","9.686515",NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","-","-","-","-"
"1114","SOMALIE","Arere","September","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"13.00","-","-","-","-","-"
"1115","SOMALIE","Jigjiga","September","2016","42.792342","9.367259",NA,NA,NA,NA,NA,"-","-",NA,"15.00","-","-","16.66","-","36.00"
"1116","SOMALIE","Hartshek","September","2016","43.356499","9.161111",NA,NA,NA,NA,NA,"-","-",NA,"-","-","-","-","-","-"
"1117","SOMALIE","Dolo","September","2016","42.059257","4.179211",NA,NA,NA,NA,NA,"-","-",NA,"-","15.00","-","-","-","-"
"1118","SOMALIE","Moyale","September","2016","3.527","39.056",NA,NA,NA,NA,NA,"-","26.21",NA,"14.00","12.00","10.00","-","-","-"
"1119","BENISHANGUL-GUMUZ","Mambook","September","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"10.00","-","10.00","-","-","-"
"1120","BENISHANGUL-GUMUZ","Mender- Sebat ","September","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","10.32","-","-","11.77"
"1121","BENISHANGUL-GUMUZ","Asossa","September","2016","34.53730603","10.05784932",NA,NA,NA,NA,NA,"-","-",NA,"11.66","-","-","-","-","40.27"
"1122","BENISHANGUL-GUMUZ","Bambasi","September","2016","34.73046863","9.751504664",NA,NA,NA,NA,NA,"-","-",NA,"-","-","-","-","-","-"
"1123","BENISHANGUL-GUMUZ","Kemashi","September","2016","35.85916991","9.515450626",NA,NA,NA,NA,NA,"-","-",NA,"-","9.48","-","-","-","-"
"1124","BENISHANGUL-GUMUZ","Agelo- meti ","September","2016","35.77048443","9.640776618",NA,NA,NA,NA,NA,"-","-",NA,"13.60","13.03","-","-","-","-"
"1125","BENISHANGUL-GUMUZ","AVERA","September","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"11.75","11.11","10.16","-","-","21.77"
"1126","TIGRAY","Enda- silase ","April","2017","38.27211005","14.08944251","12.67","-","-","-","-","-","-","26.92",NA,NA,NA,NA,NA,NA
"1127","TIGRAY","Enda- baguna ","April","2017","38.19317204","13.97860867","10.49","-","-","-","-","-","-","10.89",NA,NA,NA,NA,NA,NA
"1128","TIGRAY","Adwa","April","2017","38.88818805","14.14845458","11.13","-","-","-","22.56","-","-","27.40",NA,NA,NA,NA,NA,NA
"1129","TIGRAY","Axum","April","2017","38.71879888","14.11130791","12.43","-","-","-","25.32","-","-","18.82",NA,NA,NA,NA,NA,NA
"1130","TIGRAY","Adigrat","April","2017","39.46033457","14.26667752","9.49","-","8.48","-","-","-","-","24.62",NA,NA,NA,NA,NA,NA
"1131","TIGRAY","Wukiro","April","2017","39.599747","13.796083","7.02","-","6.96","-","11.59","-","-","28.58",NA,NA,NA,NA,NA,NA
"1132","TIGRAY","Mai- chew ","April","2017","39.541533","12.78792086","7.77","8.53","-","-","-","-","-","18.58",NA,NA,NA,NA,NA,NA
"1133","TIGRAY","Mekelle","April","2017","39.47221911","13.48719005","10.00","-","10.00","-","-","-","-","30.00",NA,NA,NA,NA,NA,NA
"1134","AFAR","Ayisaeta","April","2017","41.43333","11.56667","14.49","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"1135","AFAR","Dubti","April","2017","41.08260323","11.72765333","13.00","-","-","12.00","-","-","-","30.00",NA,NA,NA,NA,NA,NA
"1136","AFAR","Melka Werers ","April","2017","40.18154914","9.340880502","10.49","-","-","11.49","-","-","-","22.36",NA,NA,NA,NA,NA,NA
"1137","AFAR","Sebat killo ","April","2017","8.983333333","40.16666667","10.75","-","9.49","11.00","-","-","-","13.49",NA,NA,NA,NA,NA,NA
"1138","TIGRAY","Enda- silase ","August","2016","38.27211005","14.08944251",NA,NA,NA,NA,NA,"-","-",NA,"10.67","-","-","-","-","26.28"
"1139","TIGRAY","Enda- baguna ","August","2016","38.19317204","13.97860867",NA,NA,NA,NA,NA,"-","-",NA,"-","-","-","-","-","12.12"
"1140","TIGRAY","Adwa","August","2016","38.88818805","14.14845458",NA,NA,NA,NA,NA,"-","-",NA,"11.16","-","-","-","17.40","22.02"
"1141","TIGRAY","Axum","August","2016","38.71879888","14.11130791",NA,NA,NA,NA,NA,"-","-",NA,"9.26","-","-","-","22.01","15.22"
"1142","TIGRAY","Adigrat","August","2016","39.46033457","14.26667752",NA,NA,NA,NA,NA,"-","-",NA,"10.32","-","8.77","-","-","26.87"
"1143","TIGRAY","Wukiro","August","2016","39.599747","13.796083",NA,NA,NA,NA,NA,"-","-",NA,"9.04","-","9.20","-","12.62","25.25"
"1144","TIGRAY","Mai- chew ","August","2016","39.541533","12.78792086",NA,NA,NA,NA,NA,"-","-",NA,"10.25","9.67","10.93","-","-","21.85"
"1145","TIGRAY","Mekelle","August","2016","39.47221911","13.48719005",NA,NA,NA,NA,NA,"-","-",NA,"12.32","-","13.33","-","-","30.00"
"1146","AFAR","Ayisaeta","August","2016","41.43333","11.56667",NA,NA,NA,NA,NA,"-","-",NA,"-","-","-","-","-","-"
"1147","AFAR","Dubti","August","2016","41.08260323","11.72765333",NA,NA,NA,NA,NA,"-","-",NA,"13.83","-","12.00","12.83","-","-"
"1148","AFAR","Melka Werers ","August","2016","40.18154914","9.340880502",NA,NA,NA,NA,NA,"-","-",NA,"12.32","-","-","11.66","-","15.00"
"1149","AFAR","Sebat killo ","August","2016","8.983333333","40.16666667",NA,NA,NA,NA,NA,"-","-",NA,"9.49","8.43","8.83","10.83","-","19.66"
"1150","TIGRAY","Enda- silase ","December","2016","38.27211005","14.08944251",NA,NA,NA,NA,NA,"-","-",NA,"12.62","-","-","-","-","37.86"
"1151","TIGRAY","Enda- baguna ","December","2016","38.19317204","13.97860867",NA,NA,NA,NA,NA,"-","-",NA,"10.29","-","-","-","-","14.24"
"1152","TIGRAY","Adwa","December","2016","38.88818805","14.14845458",NA,NA,NA,NA,NA,"-","-",NA,"11.04","-","-","-","17.40","14.89"
"1153","TIGRAY","Axum","December","2016","38.71879888","14.11130791",NA,NA,NA,NA,NA,"-","-",NA,"12.55","-","-","-","20.08","14.67"
"1154","TIGRAY","Adigrat","December","2016","39.46033457","14.26667752",NA,NA,NA,NA,NA,"-","-",NA,"9.32","-","9.76","-","-","22.06"
"1155","TIGRAY","Wukiro","December","2016","39.599747","13.796083",NA,NA,NA,NA,NA,"-","-",NA,"7.10","-","7.47","-","10.47","27.42"
"1156","TIGRAY","Mai- chew ","December","2016","39.541533","12.78792086",NA,NA,NA,NA,NA,"-","-",NA,"7.17","7.55","-","-","-","21.28"
"1157","TIGRAY","Mekelle","December","2016","39.47221911","13.48719005",NA,NA,NA,NA,NA,"-","-",NA,"8.96","-","9.32","-","-","30.00"
"1158","AFAR","Ayisaeta","December","2016","41.43333","11.56667",NA,NA,NA,NA,NA,"-","-",NA,"17.00","-","-","-","-","-"
"1159","AFAR","Dubti","December","2016","41.08260323","11.72765333",NA,NA,NA,NA,NA,"-","-",NA,"13.00","-","12.00","12.00","-","-"
"1160","AFAR","Melka Werers ","December","2016","40.18154914","9.340880502",NA,NA,NA,NA,NA,"-","-",NA,"10.00","8.00","10.00","11.49","-","20.00"
"1161","AFAR","Sebat killo ","December","2016","8.983333333","40.16666667",NA,NA,NA,NA,NA,"-","-",NA,"9.32","8.07","8.83","10.00","-","17.66"
"1162","TIGRAY","Enda- silase ","February","2017","38.27211005","14.08944251",NA,NA,NA,NA,NA,"-","-",NA,"13.21","-","-","-","-","29.44"
"1163","TIGRAY","Enda- baguna ","February","2017","38.19317204","13.97860867",NA,NA,NA,NA,NA,"-","-",NA,"10.00","-","-","-","-","12.20"
"1164","TIGRAY","Adwa","February","2017","38.88818805","14.14845458",NA,NA,NA,NA,NA,"-","-",NA,"11.23","-","-","-","17.94","19.62"
"1165","TIGRAY","Axum","February","2017","38.71879888","14.11130791",NA,NA,NA,NA,NA,"-","-",NA,"11.57","-","-","-","20.32","18.82"
"1166","TIGRAY","Adigrat","February","2017","39.46033457","14.26667752",NA,NA,NA,NA,NA,"-","-",NA,"9.16","-","8.73","-","-","23.97"
"1167","TIGRAY","Wukiro","February","2017","39.599747","13.796083",NA,NA,NA,NA,NA,"-","-",NA,"7.27","-","7.85","-","12.05","28.63"
"1168","TIGRAY","Mai- chew ","February","2017","39.541533","12.78792086",NA,NA,NA,NA,NA,"-","-",NA,"7.70","8.32","-","-","-","20.67"
"1169","TIGRAY","Mekelle","February","2017","39.47221911","13.48719005",NA,NA,NA,NA,NA,"-","-",NA,"9.65","-","8.65","-","-","30.00"
"1170","AFAR","Ayisaeta","February","2017","41.43333","11.56667",NA,NA,NA,NA,NA,"-","-",NA,"14.66","-","-","-","-","-"
"1171","AFAR","Dubti","February","2017","41.08260323","11.72765333",NA,NA,NA,NA,NA,"-","-",NA,"13.33","-","12.00","-","-","22.89"
"1172","AFAR","Melka Werers ","February","2017","40.18154914","9.340880502",NA,NA,NA,NA,NA,"-","-",NA,"9.65","-","9.00","10.00","-","20.23"
"1173","AFAR","Sebat killo ","February","2017","8.983333333","40.16666667",NA,NA,NA,NA,NA,"-","-",NA,"9.65","7.83","9.00","10.66","-","17.66"
"1174","TIGRAY","Enda- silase ","January","2017","38.27211005","14.08944251",NA,NA,NA,NA,NA,"-","-",NA,"12.67","-","-","-","-","34.80"
"1175","TIGRAY","Enda- baguna ","January","2017","38.19317204","13.97860867",NA,NA,NA,NA,NA,"-","-",NA,"9.94","-","-","-","-","12.50"
"1176","TIGRAY","Adwa","January","2017","38.88818805","14.14845458",NA,NA,NA,NA,NA,"-","-",NA,"11.30","-","-","-","17.40","21.26"
"1177","TIGRAY","Axum","January","2017","38.71879888","14.11130791",NA,NA,NA,NA,NA,"-","-",NA,"11.30","-","-","-","17.40","21.26"
"1178","TIGRAY","Adigrat","January","2017","39.46033457","14.26667752",NA,NA,NA,NA,NA,"-","-",NA,"8.49","-","8.74","-","-","23.61"
"1179","TIGRAY","Wukiro","January","2017","39.599747","13.796083",NA,NA,NA,NA,NA,"-","-",NA,"7.02","-","8.77","-","9.86","29.70"
"1180","TIGRAY","Mai- chew ","January","2017","39.541533","12.78792086",NA,NA,NA,NA,NA,"-","-",NA,"7.59","7.87","-","-","-","21.13"
"1181","TIGRAY","Mekelle","January","2017","39.47221911","13.48719005",NA,NA,NA,NA,NA,"-","-",NA,"10.32","-","9.65","-","-","30.00"
"1182","AFAR","Ayisaeta","January","2017","41.43333","11.56667",NA,NA,NA,NA,NA,"-","-",NA,"17.33","-","-","-","-","-"
"1183","AFAR","Dubti","January","2017","41.08260323","11.72765333",NA,NA,NA,NA,NA,"-","-",NA,"13.00","-","11.66","12.00","-","36.94"
"1184","AFAR","Melka Werers ","January","2017","40.18154914","9.340880502",NA,NA,NA,NA,NA,"-","-",NA,"10.00","-","9.32","11.00","-","20.00"
"1185","AFAR","Sebat killo ","January","2017","8.983333333","40.16666667",NA,NA,NA,NA,NA,"-","-",NA,"10.83","-","9.00","11.32","-","18.44"
"1186","TIGRAY","Enda- silase ","July","2016","38.27211005","14.08944251",NA,NA,NA,NA,NA,"-","-",NA,"10.25","-","-","-","-","25.94"
"1187","TIGRAY","Enda- baguna ","July","2016","38.19317204","13.97860867",NA,NA,NA,NA,NA,"-","-",NA,"-","-","-","-","-","11.91"
"1188","TIGRAY","Adwa","July","2016","38.88818805","14.14845458",NA,NA,NA,NA,NA,"-","-",NA,"11.23","-","-","-","17.40","19.45"
"1189","TIGRAY","Axum","July","2016","38.71879888","14.11130791",NA,NA,NA,NA,NA,"-","-",NA,"11.04","-","-","-","25.24","11.39"
"1190","TIGRAY","Adigrat","July","2016","39.46033457","14.26667752",NA,NA,NA,NA,NA,"-","-",NA,"9.00","-","9.14","-","-","21.90"
"1191","TIGRAY","Wukiro","July","2016","39.599747","13.796083",NA,NA,NA,NA,NA,"-","-",NA,"7.55","-","10.47","-","13.01","25.25"
"1192","TIGRAY","Mai- chew ","July","2016","39.541533","12.78792086",NA,NA,NA,NA,NA,"-","-",NA,"10.31","9.56","10.17","-","-","20.95"
"1193","TIGRAY","Mekelle","July","2016","39.47221911","13.48719005",NA,NA,NA,NA,NA,"-","-",NA,"11.97","-","13.49","-","-","30.00"
"1194","AFAR","Ayisaeta","July","2016","41.43333","11.56667",NA,NA,NA,NA,NA,"-","-",NA,"15.62","-","-","-","-","-"
"1195","AFAR","Dubti","July","2016","41.08260323","11.72765333",NA,NA,NA,NA,NA,"-","-",NA,"14.00","-","13.16","12.00","-","-"
"1196","AFAR","Melka Werers ","July","2016","40.18154914","9.340880502",NA,NA,NA,NA,NA,"-","-",NA,"11.29","-","-","12.49","-","18.17"
"1197","AFAR","Sebat killo ","July","2016","8.983333333","40.16666667",NA,NA,NA,NA,NA,"-","-",NA,"9.32","8.32","9.65","10.00","-","18.29"
"1198","TIGRAY","Enda- silase ","June","2017","38.27211005","14.08944251","12.36","-","-","-","-","-","-","29.60",NA,NA,NA,NA,NA,NA
"1199","TIGRAY","Enda- baguna ","June","2017","38.19317204","13.97860867","11.88","-","-","-","-","-","-","12.38",NA,NA,NA,NA,NA,NA
"1200","TIGRAY","Adwa","June","2017","38.88818805","14.14845458","11.13","-","-","-","18.04","-","-","21.92",NA,NA,NA,NA,NA,NA
"1201","TIGRAY","Axum","June","2017","38.71879888","14.11130791","12.67","-","-","-","22.29","-","-","21.05",NA,NA,NA,NA,NA,NA
"1202","TIGRAY","Adigrat","June","2017","39.46033457","14.26667752","9.49","-","9.82","-","-","-","-","23.05",NA,NA,NA,NA,NA,NA
"1203","TIGRAY","Wukiro","June","2017","39.599747","13.796083","8.26","-","6.78","-","11.92","-","-","23.38",NA,NA,NA,NA,NA,NA
"1204","TIGRAY","Mai- chew ","June","2017","39.541533","12.78792086","9.89","10.35","-","-","-","-","-","25.54",NA,NA,NA,NA,NA,NA
"1205","TIGRAY","Mekelle","June","2017","39.47221911","13.48719005","9.25","-","10.00","-","-","-","-","30.00",NA,NA,NA,NA,NA,NA
"1206","AFAR","Ayisaeta","June","2017","41.43333","11.56667","17.25","-","10.00","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"1207","AFAR","Dubti","June","2017","41.08260323","11.72765333","13.00","-","12.00","11.49","-","-","-","30.00",NA,NA,NA,NA,NA,NA
"1208","AFAR","Melka Werers ","June","2017","40.18154914","9.340880502","11.49","-","-","11.49","-","-","-","20.00",NA,NA,NA,NA,NA,NA
"1209","AFAR","Sebat killo ","June","2017","8.983333333","40.16666667","11.75","9.00","10.00","11.75","-","-","-","18.97",NA,NA,NA,NA,NA,NA
"1210","TIGRAY","Enda- silase ","March","2017","38.27211005","14.08944251",NA,NA,NA,NA,NA,"-","-",NA,"10.85","-","-","-","-","31.35"
"1211","TIGRAY","Enda- baguna ","March","2017","38.19317204","13.97860867",NA,NA,NA,NA,NA,"-","-",NA,"9.94","-","-","-","-","12.00"
"1212","TIGRAY","Adwa","March","2017","38.88818805","14.14845458",NA,NA,NA,NA,NA,"-","-",NA,"11.16","-","-","-","17.49","19.09"
"1213","TIGRAY","Axum","March","2017","38.71879888","14.11130791",NA,NA,NA,NA,NA,"-","-",NA,"10.67","-","-","-","19.12","18.41"
"1214","TIGRAY","Adigrat","March","2017","39.46033457","14.26667752",NA,NA,NA,NA,NA,"-","-",NA,"9.32","-","8.59","-","-","23.79"
"1215","TIGRAY","Wukiro","March","2017","39.599747","13.796083",NA,NA,NA,NA,NA,"-","-",NA,"8.04","-","6.90","-","12.50","25.96"
"1216","TIGRAY","Mai- chew ","March","2017","39.541533","12.78792086",NA,NA,NA,NA,NA,"-","-",NA,"7.79","8.12","-","-","-","24.80"
"1217","TIGRAY","Mekelle","March","2017","39.47221911","13.48719005",NA,NA,NA,NA,NA,"-","-",NA,"9.16","-","8.96","-","-","30.00"
"1218","AFAR","Ayisaeta","March","2017","41.43333","11.56667",NA,NA,NA,NA,NA,"-","-",NA,"-","-","-","-","-","-"
"1219","AFAR","Dubti","March","2017","41.08260323","11.72765333",NA,NA,NA,NA,NA,"-","-",NA,"13.00","-","12.00","12.00","-","27.39"
"1220","AFAR","Melka Werers ","March","2017","40.18154914","9.340880502",NA,NA,NA,NA,NA,"-","-",NA,"9.32","-","8.32","10.00","-","17.88"
"1221","AFAR","Sebat killo ","March","2017","8.983333333","40.16666667",NA,NA,NA,NA,NA,"-","-",NA,"9.65","7.32","8.83","11.32","-","17.66"
"1222","TIGRAY","Enda- silase ","May","2017","38.27211005","14.08944251","12.36","-","-","-","-","-","-","29.60",NA,NA,NA,NA,NA,NA
"1223","TIGRAY","Enda- baguna ","May","2017","38.19317204","13.97860867","11.88","-","-","-","-","-","-","12.38",NA,NA,NA,NA,NA,NA
"1224","TIGRAY","Adwa","May","2017","38.88818805","14.14845458","11.13","-","-","-","18.04","-","-","21.92",NA,NA,NA,NA,NA,NA
"1225","TIGRAY","Axum","May","2017","38.71879888","14.11130791","12.67","-","-","-","22.29","-","-","21.05",NA,NA,NA,NA,NA,NA
"1226","TIGRAY","Adigrat","May","2017","39.46033457","14.26667752","9.49","-","9.82","-","-","-","-","23.05",NA,NA,NA,NA,NA,NA
"1227","TIGRAY","Wukiro","May","2017","39.599747","13.796083","8.26","-","6.78","-","11.92","-","-","23.38",NA,NA,NA,NA,NA,NA
"1228","TIGRAY","Mai- chew ","May","2017","39.541533","12.78792086","9.89","10.35","-","-","-","-","-","25.54",NA,NA,NA,NA,NA,NA
"1229","TIGRAY","Mekelle","May","2017","39.47221911","13.48719005","9.25","-","10.00","-","-","-","-","30.00",NA,NA,NA,NA,NA,NA
"1230","AFAR","Ayisaeta","May","2017","41.43333","11.56667","17.25","-","10.00","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"1231","AFAR","Dubti","May","2017","41.08260323","11.72765333","13.00","-","12.00","11.49","-","-","-","30.00",NA,NA,NA,NA,NA,NA
"1232","AFAR","Melka Werers ","May","2017","40.18154914","9.340880502","11.49","-","-","11.49","-","-","-","20.00",NA,NA,NA,NA,NA,NA
"1233","AFAR","Sebat killo ","May","2017","8.983333333","40.16666667","11.75","9.00","10.00","11.75","-","-","-","18.97",NA,NA,NA,NA,NA,NA
"1234","TIGRAY","Enda- silase ","November","2016","38.27211005","14.08944251",NA,NA,NA,NA,NA,"-","-",NA,"10.97","-","-","-","-","33.81"
"1235","TIGRAY","Enda- baguna ","November","2016","38.19317204","13.97860867",NA,NA,NA,NA,NA,"-","-",NA,"10.86","-","-","-","-","12.82"
"1236","TIGRAY","Adwa","November","2016","38.88818805","14.14845458",NA,NA,NA,NA,NA,"-","-",NA,"11.20","-","-","-","24.88","20.41"
"1237","TIGRAY","Axum","November","2016","38.71879888","14.11130791",NA,NA,NA,NA,NA,"-","-",NA,"10.13","-","-","-","23.38","19.57"
"1238","TIGRAY","Adigrat","November","2016","39.46033457","14.26667752",NA,NA,NA,NA,NA,"-","-",NA,"8.00","-","9.55","-","-","23.29"
"1239","TIGRAY","Wukiro","November","2016","39.599747","13.796083",NA,NA,NA,NA,NA,"-","-",NA,"9.09","-","9.44","-","12.50","26.73"
"1240","TIGRAY","Mai- chew ","November","2016","39.541533","12.78792086",NA,NA,NA,NA,NA,"-","-",NA,"7.47","8.36","-","-","-","21.28"
"1241","TIGRAY","Mekelle","November","2016","39.47221911","13.48719005",NA,NA,NA,NA,NA,"-","-",NA,"10.97","-","12.66","-","-","30.00"
"1242","AFAR","Ayisaeta","November","2016","41.43333","11.56667",NA,NA,NA,NA,NA,"-","-",NA,"17.33","-","-","-","-","-"
"1243","AFAR","Dubti","November","2016","41.08260323","11.72765333",NA,NA,NA,NA,NA,"-","-",NA,"12.48","-","12.00","12.00","-","37.42"
"1244","AFAR","Melka Werers ","November","2016","40.18154914","9.340880502",NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","-","12.00","-","19.66"
"1245","AFAR","Sebat killo ","November","2016","8.983333333","40.16666667",NA,NA,NA,NA,NA,"-","-",NA,"9.56","8.55","8.93","10.00","-","17.66"
"1246","TIGRAY","Enda- silase ","October","2016","38.27211005","14.08944251",NA,NA,NA,NA,NA,"-","-",NA,"11.75","-","-","-","-","33.36"
"1247","TIGRAY","Enda- baguna ","October","2016","38.19317204","13.97860867",NA,NA,NA,NA,NA,"-","-",NA,"9.94","-","-","-","-","12.51"
"1248","TIGRAY","Adwa","October","2016","38.88818805","14.14845458",NA,NA,NA,NA,NA,"-","-",NA,"11.10","-","-","-","18.18","18.92"
"1249","TIGRAY","Axum","October","2016","38.71879888","14.11130791",NA,NA,NA,NA,NA,"-","-",NA,"12.72","-","-","-","22.43","13.03"
"1250","TIGRAY","Adigrat","October","2016","39.46033457","14.26667752",NA,NA,NA,NA,NA,"-","-",NA,"10.49","-","9.76","-","-","22.61"
"1251","TIGRAY","Wukiro","October","2016","39.599747","13.796083",NA,NA,NA,NA,NA,"-","-",NA,"10.59","-","10.78","-","13.01","25.25"
"1252","TIGRAY","Mai- chew ","October","2016","39.541533","12.78792086",NA,NA,NA,NA,NA,"-","-",NA,"8.02","8.70","-","-","-","21.71"
"1253","TIGRAY","Mekelle","October","2016","39.47221911","13.48719005",NA,NA,NA,NA,NA,"-","-",NA,"10.32","-","10.66","-","-","30.00"
"1254","AFAR","Ayisaeta","October","2016","41.43333","11.56667",NA,NA,NA,NA,NA,"-","-",NA,"16.66","-","13.00","-","-","-"
"1255","AFAR","Dubti","October","2016","41.08260323","11.72765333",NA,NA,NA,NA,NA,"-","-",NA,"13.83","-","12.83","13.00","-","40.00"
"1256","AFAR","Melka Werers ","October","2016","40.18154914","9.340880502",NA,NA,NA,NA,NA,"-","-",NA,"11.83","-","-","12.00","-","18.17"
"1257","AFAR","Sebat killo ","October","2016","8.983333333","40.16666667",NA,NA,NA,NA,NA,"-","-",NA,"10.00","8.73","9.00","10.33","-","18.66"
"1258","TIGRAY","Enda- silase ","September","2016","38.27211005","14.08944251",NA,NA,NA,NA,NA,"-","-",NA,"10.31","-","-","-","-","30.78"
"1259","TIGRAY","Enda- baguna ","September","2016","38.19317204","13.97860867",NA,NA,NA,NA,NA,"-","-",NA,"10.22","-","-","-","-","13.52"
"1260","TIGRAY","Adwa","September","2016","38.88818805","14.14845458",NA,NA,NA,NA,NA,"-","-",NA,"11.10","-","-","-","-","19.45"
"1261","TIGRAY","Axum","September","2016","38.71879888","14.11130791",NA,NA,NA,NA,NA,"-","-",NA,"10.89","-","-","-","20.91","15.14"
"1262","TIGRAY","Adigrat","September","2016","39.46033457","14.26667752",NA,NA,NA,NA,NA,"-","-",NA,"12.32","-","9.55","-","-","26.87"
"1263","TIGRAY","Wukiro","September","2016","39.599747","13.796083",NA,NA,NA,NA,NA,"-","-",NA,"11.68","-","8.83","-","12.44","25.01"
"1264","TIGRAY","Mai- chew ","September","2016","39.541533","12.78792086",NA,NA,NA,NA,NA,"-","-",NA,"8.24","9.45","-","-","-","20.52"
"1265","TIGRAY","Mekelle","September","2016","39.47221911","13.48719005",NA,NA,NA,NA,NA,"-","-",NA,"12.97","-","14.33","-","-","30.00"
"1266","AFAR","Ayisaeta","September","2016","41.43333","11.56667",NA,NA,NA,NA,NA,"-","-",NA,"-","-","13.49","-","-","-"
"1267","AFAR","Dubti","September","2016","41.08260323","11.72765333",NA,NA,NA,NA,NA,"-","-",NA,"14.00","-","13.00","13.00","-","-"
"1268","AFAR","Melka Werers ","September","2016","40.18154914","9.340880502",NA,NA,NA,NA,NA,"-","-",NA,"13.33","-","-","12.66","-","16.51"
"1269","AFAR","Sebat killo ","September","2016","8.983333333","40.16666667",NA,NA,NA,NA,NA,"-","-",NA,"9.00","7.65","9.00","10.00","-","16.33"
