"","Region","Market","Month","Year","Longitude","Latitude","01.1 FOOD_Bread Wheat (Bakery)","01.1.1.2 UNMILLED CEREALS/GRAINS_Wheat White","01.1.1.2 UNMILLED CEREALS/GRAINS_Wheat Mixed","01.1.1.2 UNMILLED CEREALS/GRAINS_Wheat Black (Red)","01.1.1.2 UNMILLED CEREALS/GRAINS_Emmer Wheat (shelled) Aja","01.1.1.2 UNMILLED CEREALS/GRAINS_Emmer Wheat (unshelled)","CEREALS MILLED_Wheat White","CEREALS MILLED_Wheat Mixed","CEREALS MILLED_Emmer Wheat(Aja)","01.2.1.1 COFFEE AND TEA_Malt-Wheat","P R I C E   I N    B I R R_Porridge 'bula' or wheat","CEREALS UNMILLED_Wheat White","CEREALS UNMILLED_Wheat Mixed","CEREALS UNMILLED_Wheat Black (Red)","BREAD AND OTHER PREPARED FOODS_Bread Wheat (Bakery)","P R I C E   I N    B I R R_Malt-Wheat"
"1265","TIGRAY","Enda- baguna ","November","2016","38.19317204","13.97860867",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"-","-","-","4.79","-"
"1266","TIGRAY","Adwa","November","2016","38.88818805","14.14845458",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"8.00","-","-","4.38","-"
"1267","TIGRAY","Axum","November","2016","38.71879888","14.11130791",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"9.32","-","-","4.38","-"
"1268","TIGRAY","Adigrat","November","2016","39.46033457","14.26667752",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"8.00","-","7.32","4.67","-"
"1269","TIGRAY","Wukiro","November","2016","39.599747","13.796083",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"7.23","-","9.95","4.20","29.74"
"1270","TIGRAY","Mai- chew ","November","2016","39.541533","12.78792086",NA,NA,NA,NA,NA,NA,"10.57","-",NA,NA,NA,"7.84","-","10.63","4.38","25.23"
"1271","TIGRAY","Mekelle","November","2016","39.47221911","13.48719005",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"11.32","-","14.66","4.55","-"
"1272","AFAR","Ayisaeta","November","2016","41.43333","11.56667",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"15.00","-","-","5.75","-"
"1273","AFAR","Dubti","November","2016","41.08260323","11.72765333",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"15.33","-","-","4.04","-"
"1274","AFAR","Melka Werers ","November","2016","40.18154914","9.340880502",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"12.00","-","-","3.50","15.33"
"1275","AFAR","Sebat killo ","November","2016","8.983333333","40.16666667",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"9.49","-","-","8.75","17.33"
"1276","TIGRAY","Enda- silase ","October","2016","38.27211005","14.08944251",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"15.26","-","7.47","4.65","-"
"1277","TIGRAY","Enda- baguna ","October","2016","38.19317204","13.97860867",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"18.56","-","-","4.38","-"
"1278","TIGRAY","Adwa","October","2016","38.88818805","14.14845458",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"8.00","-","-","4.38","-"
"1279","TIGRAY","Axum","October","2016","38.71879888","14.11130791",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"8.97","-","-","4.38","-"
"1280","TIGRAY","Adigrat","October","2016","39.46033457","14.26667752",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"9.65","-","8.96","4.59","-"
"1281","TIGRAY","Wukiro","October","2016","39.599747","13.796083",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"9.40","-","10.78","4.38","29.21"
"1282","TIGRAY","Mai- chew ","October","2016","39.541533","12.78792086",NA,NA,NA,NA,NA,NA,"10.70","-",NA,NA,NA,"7.38","-","10.74","4.38","24.10"
"1283","TIGRAY","Mekelle","October","2016","39.47221911","13.48719005",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"12.16","-","12.32","4.55","-"
"1284","AFAR","Ayisaeta","October","2016","41.43333","11.56667",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"14.66","-","-","5.92","-"
"1285","AFAR","Dubti","October","2016","41.08260323","11.72765333",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"14.00","-","12.00","3.83","-"
"1286","AFAR","Melka Werers ","October","2016","40.18154914","9.340880502",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"11.66","-","-","3.63","16.51"
"1287","AFAR","Sebat killo ","October","2016","8.983333333","40.16666667",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"10.83","-","-","8.41","18.66"
"1288","TIGRAY","Enda- silase ","September","2016","38.27211005","14.08944251",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"16.11","-","-","5.25","-"
"1289","TIGRAY","Enda- baguna ","September","2016","38.19317204","13.97860867",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"18.37","-","-","4.38","-"
"1290","TIGRAY","Adwa","September","2016","38.88818805","14.14845458",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"8.00","-","-","4.38","-"
"1291","TIGRAY","Axum","September","2016","38.71879888","14.11130791",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"9.04","-","-","4.38","-"
"1292","TIGRAY","Adigrat","September","2016","39.46033457","14.26667752",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"9.00","-","7.83","4.44","-"
"1293","TIGRAY","Wukiro","September","2016","39.599747","13.796083",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"9.55","-","10.00","4.38","29.48"
"1294","TIGRAY","Mai- chew ","September","2016","39.541533","12.78792086",NA,NA,NA,NA,NA,NA,"10.54","-",NA,NA,NA,"8.05","-","10.43","4.38","24.51"
"1295","TIGRAY","Mekelle","September","2016","39.47221911","13.48719005",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"13.33","-","13.33","4.55","-"
"1296","AFAR","Ayisaeta","September","2016","41.43333","11.56667",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"15.66","-","-","5.75","-"
"1297","AFAR","Dubti","September","2016","41.08260323","11.72765333",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"14.00","-","-","4.67","-"
"1298","AFAR","Melka Werers ","September","2016","40.18154914","9.340880502",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"11.66","-","-","3.63","16.51"
"1299","AFAR","Sebat killo ","September","2016","8.983333333","40.16666667",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"10.49","-","-","-","15.66"
