"","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley White","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Mixed","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Black","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley for Beer","P R I C E   I N    B I R R_Hulled Barley (Temez)","CEREALS MILLED_Barley White","CEREALS MILLED_Barley Mixed","01.2.1.1 COFFEE AND TEA_Malt-Barley","01.1.1.2 UNMILLED CEREALS/GRAINS_Hulled Barley (Temez)"
"1","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","P R I C E   I N    B I R R","CEREALS MILLED","CEREALS MILLED","01.2.1.1 COFFEE AND TEA",NA
"932","BENISHANGUL-GUMUZ","Mender- Sebat ","January","2019",NA,NA,"16.00","13.00","-","-","-","-","-","-",NA
"933","BENISHANGUL-GUMUZ","Asossa","January","2019","34.53730603","10.05784932","20.00","15.49","-","-","-","-","-","30.78",NA
"934","BENISHANGUL-GUMUZ","Bambasi","January","2019","34.73046863","9.751504664","19.66","15.91","-","-","-","-","-","-",NA
"935","BENISHANGUL-GUMUZ","Kemashi","January","2019","35.85916991","9.515450626","-","-","-","-","-","-","-","-",NA
"936","BENISHANGUL-GUMUZ","Agelo- meti ","January","2019","35.77048443","9.640776618","-","-","-","-","-","-","-","-",NA
"937","BENISHANGUL-GUMUZ","AVERA","January","2019",NA,NA,"18.08","14.42","-","-","-","-","-","30.78",NA
"938","SOMALIE","Shinile","July","2018","41.844013","9.686515","-","-","-","-","-","-","-","-",NA
"939","SOMALIE","Erere","July","2018",NA,NA,"18.00","-","-","-","-","-","-","-",NA
"940","SOMALIE","Jigjiga","July","2018","42.792342","9.367259","20.00","17.95","-","-","-","-","-","50.00",NA
"941","SOMALIE","Kebribeya","July","2018",NA,NA,"-","-","-","-","-","-","-","-",NA
"942","SOMALIE","Dolo","July","2018","42.059257","4.179211","-","20.00","-","-","-","-","-","-",NA
"943","SOMALIE","Moyale","July","2018","3.527","39.056","18.00","-","-","18.00","-","35.00","-","-",NA
"944","BENISHANGUL-GUMUZ","Mambook","July","2018",NA,NA,"16.00","13.00","13.00","-","-","-","-","-",NA
"945","BENISHANGUL-GUMUZ","Mender- Sebat ","July","2018",NA,NA,"15.00","-","13.49","-","-","-","-","-",NA
"946","BENISHANGUL-GUMUZ","Asossa","July","2018","34.53730603","10.05784932","18.49","-","-","-","-","-","-","36.77",NA
"947","BENISHANGUL-GUMUZ","Bambasi","July","2018","34.73046863","9.751504664","19.78","-","-","-","-","-","-","-",NA
"948","BENISHANGUL-GUMUZ","Kemashi","July","2018","35.85916991","9.515450626","-","14.46","-","-","-","-","-","-",NA
"949","BENISHANGUL-GUMUZ","Agelo- meti ","July","2018","35.77048443","9.640776618","15.78","-","-","-","-","-","-","-",NA
"950","BENISHANGUL-GUMUZ","AVERA","July","2018",NA,NA,"16.92","13.71","13.24","-","-","-","-","36.77",NA
"951","SOMALIE","Shinile","March","2019","41.844013","9.686515","-","-","-","-","-","-","-","-",NA
"952","SOMALIE","Erere","March","2019",NA,NA,"20.00","-","-","-","-","-","-","-",NA
"953","SOMALIE","Jigjiga","March","2019","42.792342","9.367259","20.00","20.89","-","-","-","-","-","57.45",NA
"954","SOMALIE","Kebribeya","March","2019",NA,NA,"-","-","-","-","-","-","-","-",NA
"955","SOMALIE","Dolo","March","2019","42.059257","4.179211","-","25.00","-","-","-","-","-","-",NA
"956","SOMALIE","Moyale","March","2019","3.527","39.056","-","-","-","-","-","-","-","-",NA
"957","BENISHANGUL-GUMUZ","Mambook","March","2019",NA,NA,"16.00","13.49","-","-","-","-","-","32.64",NA
"958","BENISHANGUL-GUMUZ","Mender- Sebat ","March","2019",NA,NA,"17.49","-","14.00","-","-","-","-","-",NA
"959","BENISHANGUL-GUMUZ","Asossa","March","2019","34.53730603","10.05784932","18.00","-","-","-","-","-","-","28.84",NA
"960","BENISHANGUL-GUMUZ","Bambasi","March","2019","34.73046863","9.751504664","20.30","-","-","-","-","-","-","-",NA
"961","BENISHANGUL-GUMUZ","Kemashi","March","2019","35.85916991","9.515450626","-","-","-","-","-","-","-","-",NA
"962","BENISHANGUL-GUMUZ","Agelo- meti ","March","2019","35.77048443","9.640776618","-","-","-","-","-","-","-","-",NA
"963","BENISHANGUL-GUMUZ","AVERA","March","2019",NA,NA,"17.88","13.49","14.00","-","-","-","-","30.68",NA
"964","SOMALIE","Shinile","May","2019","41.844013","9.686515","-","-","-","-","-","-","-","-",NA
"965","SOMALIE","Erere","May","2019",NA,NA,"-","-","-","-","-","-","-","-",NA
"966","SOMALIE","Jigjiga","May","2019","42.792342","9.367259","20.00","21.13","-","-","-","-","-","53.48",NA
"967","SOMALIE","Kebribeya","May","2019",NA,NA,"-","-","-","-","-","-","-","-",NA
"968","SOMALIE","Dolo","May","2019","42.059257","4.179211","-","25.00","-","-","-","-","-","-",NA
"969","SOMALIE","Moyale","May","2019","3.527","39.056","-","-","-","-","-","-","-","-",NA
"970","BENISHANGUL-GUMUZ","Mambook","May","2019",NA,NA,"17.00","15.00","-","-","-","-","-","-",NA
"971","BENISHANGUL-GUMUZ","Mender- Sebat ","May","2019",NA,NA,"18.00","-","14.00","-","-","-","-","-",NA
"972","BENISHANGUL-GUMUZ","Asossa","May","2019","34.53730603","10.05784932","17.00","-","18.00","-","-","-","-","40.73",NA
"973","BENISHANGUL-GUMUZ","Bambasi","May","2019","34.73046863","9.751504664","20.20","-","-","-","-","-","-","-",NA
"974","BENISHANGUL-GUMUZ","Kemashi","May","2019","35.85916991","9.515450626","-","17.88","-","-","-","-","-","-",NA
"975","BENISHANGUL-GUMUZ","Agelo- meti ","May","2019","35.77048443","9.640776618","-","-","-","-","-","-","-","-",NA
"976","BENISHANGUL-GUMUZ","AVERA","May","2019",NA,NA,"18.00","16.38","15.87","-","-","-","-","40.73",NA
"977","SOMALIE","Shinile","November","2018","41.844013","9.686515","-","-","-","-","-","-","-","-",NA
"978","SOMALIE","Erere","November","2018",NA,NA,"20.00","-","-","-","-","-","-","-",NA
"979","SOMALIE","Jigjiga","November","2018","42.792342","9.367259","20.00","18.57","-","-","-","-","-","50.00",NA
"980","SOMALIE","Kebribeya","November","2018",NA,NA,"-","-","-","-","-","-","-","-",NA
"981","SOMALIE","Dolo","November","2018","42.059257","4.179211","-","25.00","-","-","-","-","-","-",NA
"982","SOMALIE","Moyale","November","2018","3.527","39.056","-","-","-","-","-","-","-","-",NA
"983","BENISHANGUL-GUMUZ","Mambook","November","2018",NA,NA,"15.49","13.00","-","-","-","-","-","-",NA
"984","BENISHANGUL-GUMUZ","Mender- Sebat ","November","2018",NA,NA,"16.00","-","14.49","-","-","-","-","-",NA
"985","BENISHANGUL-GUMUZ","Asossa","November","2018","34.53730603","10.05784932","20.00","15.49","-","-","-","-","-","30.37",NA
"986","BENISHANGUL-GUMUZ","Bambasi","November","2018","34.73046863","9.751504664","20.20","-","-","-","-","-","-","-",NA
"987","BENISHANGUL-GUMUZ","Kemashi","November","2018","35.85916991","9.515450626","-","-","-","-","-","-","-","-",NA
"988","BENISHANGUL-GUMUZ","Agelo- meti ","November","2018","35.77048443","9.640776618","-","-","-","-","-","-","-","-",NA
"989","BENISHANGUL-GUMUZ","AVERA","November","2018",NA,NA,"17.79","14.19","14.49","-","-","-","-","30.37",NA
"990","SOMALIE","Shinile","October","2018","41.844013","9.686515","-","-","-","-","-","-","-","-",NA
"991","SOMALIE","Erere","October","2018",NA,NA,"20.00","-","-","-","-","-","-","-",NA
"992","SOMALIE","Jigjiga","October","2018","42.792342","9.367259","20.00","17.29","-","-","-","-","-","53.48",NA
"993","SOMALIE","Kebribeya","October","2018",NA,NA,"-","-","-","-","-","-","-","-",NA
"994","SOMALIE","Dolo","October","2018","42.059257","4.179211","-","23.00","-","-","-","-","-","-",NA
"995","SOMALIE","Moyale","October","2018","3.527","39.056","18.00","-","-","18.00","-","40.00","-","-",NA
"996","BENISHANGUL-GUMUZ","Mambook","October","2018",NA,NA,"16.00","-","13.00","-","-","-","-","-",NA
"997","BENISHANGUL-GUMUZ","Mender- Sebat ","October","2018",NA,NA,"16.00","-","13.49","-","-","-","-","-",NA
"998","BENISHANGUL-GUMUZ","Asossa","October","2018","34.53730603","10.05784932","18.00","14.00","15.49","-","-","-","-","35.73",NA
"999","BENISHANGUL-GUMUZ","Bambasi","October","2018","34.73046863","9.751504664","19.24","-","-","-","-","-","-","-",NA
"1000","BENISHANGUL-GUMUZ","Kemashi","October","2018","35.85916991","9.515450626","15.54","16.82","-","-","-","-","-","-",NA
"1001","BENISHANGUL-GUMUZ","Agelo- meti ","October","2018","35.77048443","9.640776618","17.96","17.51","-","-","-","-","-","-",NA
"1002","BENISHANGUL-GUMUZ","AVERA","October","2018",NA,NA,"17.07","16.04","13.95","-","-","-","-","35.73",NA
"1003","SOMALIE","Shinile","September","2018","41.844013","9.686515","-","-","-","-","-","-","-","-",NA
"1004","SOMALIE","Erere","September","2018",NA,NA,"18.00","-","-","-","-","-","-","-",NA
"1005","SOMALIE","Jigjiga","September","2018","42.792342","9.367259","-","-","-","-","-","-","-","-",NA
"1006","SOMALIE","Kebribeya","September","2018",NA,NA,"-","-","-","-","-","-","-","-",NA
"1007","SOMALIE","Dolo","September","2018","42.059257","4.179211","-","25.00","-","-","-","-","-","-",NA
"1008","SOMALIE","Moyale","September","2018","3.527","39.056","18.00","-","-","18.00","-","40.00","-","-",NA
"1009","BENISHANGUL-GUMUZ","Mambook","September","2018",NA,NA,"16.00","13.00","13.00","-","-","-","-","38.51",NA
"1010","BENISHANGUL-GUMUZ","Mender- Sebat ","September","2018",NA,NA,"16.49","-","14.00","-","-","-","-","-",NA
"1011","BENISHANGUL-GUMUZ","Asossa","September","2018","34.53730603","10.05784932","18.00","-","-","-","-","-","-","33.85",NA
"1012","BENISHANGUL-GUMUZ","Bambasi","September","2018","34.73046863","9.751504664","19.42","-","-","-","-","-","-","-",NA
"1013","BENISHANGUL-GUMUZ","Kemashi","September","2018","35.85916991","9.515450626","15.54","16.82","-","-","-","-","-","-",NA
"1014","BENISHANGUL-GUMUZ","Agelo- meti ","September","2018","35.77048443","9.640776618","17.96","17.51","-","-","-","-","-","-",NA
"1015","BENISHANGUL-GUMUZ","AVERA","September","2018",NA,NA,"17.18","15.64","13.49","-","-","-","-","36.10",NA
"1016","TIGRAY","Enda- silase ","April","2019","38.27211005","14.08944251","21.13","-","-","-","-","-","-","44.85",NA
"1017","TIGRAY","Enda- baguna ","April","2019","38.19317204","13.97860867","23.09","-","-","-","-","-","-","25.74",NA
"1018","TIGRAY","Adwa","April","2019","38.88818805","14.14845458","-","-","-","-","-","-","-","26.67",NA
"1019","TIGRAY","Axum","April","2019","38.71879888","14.11130791","25.11","-","-","-","42.97","-","-","27.45",NA
"1020","TIGRAY","Adigrat","April","2019","39.46033457","14.26667752","16.49","-","18.40","-","-","-","-","33.90",NA
"1021","TIGRAY","Wukiro","April","2019","39.599747","13.796083","16.81","-","14.78","-","19.45","-","-","-",NA
"1022","TIGRAY","Mai- chew ","April","2019","39.541533","12.78792086","13.69","14.87","-","-","-","-","-","20.66",NA
"1023","TIGRAY","Mekelle","April","2019","39.47221911","13.48719005","21.49","-","16.49","-","-","-","-","55.00",NA
"1024","AFAR","Ayisaeta","April","2019","41.43333","11.56667","-","-","-","20.00","-","-","-","-",NA
"1025","AFAR","Semera Logia ","April","2019",NA,NA,"20.00","-","17.00","17.00","-","-","-","-",NA
"1026","AFAR","Melka Werers ","April","2019","40.18154914","9.340880502","17.49","-","12.49","17.49","-","-","-","26.35",NA
"1027","AFAR","Sebat killo ","April","2019","8.983333333","40.16666667","14.49","13.00","13.49","15.00","-","-","-","20.98",NA
"1028","TIGRAY","Enda- silase ","August","2018","38.27211005","14.08944251","16.66","-","-","-","-","-","-","50.00",NA
"1029","TIGRAY","Enda- baguna ","August","2018","38.19317204","13.97860867","15.07","-","-","-","-","-","-","20.17",NA
"1030","TIGRAY","Adwa","August","2018","38.88818805","14.14845458","11.13","-","-","-","29.32","-","-","27.40",NA
"1031","TIGRAY","Axum","August","2018","38.71879888","14.11130791","12.93","-","-","-","34.81","-","-","21.51",NA
"1032","TIGRAY","Adigrat","August","2018","39.46033457","14.26667752","12.49","-","15.75","18.00","-","-","-","25.95",NA
"1033","TIGRAY","Wukiro","August","2018","39.599747","13.796083","15.31","-","14.22","-","-","-","-","51.95",NA
"1034","TIGRAY","Mai- chew ","August","2018","39.541533","12.78792086","15.80","-","-","-","-","-","-","16.90",NA
"1035","TIGRAY","Mekelle","August","2018","39.47221911","13.48719005","16.49","-","15.00","-","-","-","-","50.00",NA
"1036","AFAR","Ayisaeta","August","2018","41.43333","11.56667","18.97","-","14.49","-","-","-","-","-",NA
"1037","AFAR","Semera Logia ","August","2018",NA,NA,"20.00","-","13.96","-","-","-","-","-",NA
"1038","AFAR","Melka Werers ","August","2018","40.18154914","9.340880502","15.49","-","-","15.49","-","-","-","28.58",NA
"1039","AFAR","Sebat killo ","August","2018","8.983333333","40.16666667","14.00","12.00","13.25","14.00","-","-","-","20.00",NA
"1040","TIGRAY","Enda- silase ","December","2018","38.27211005","14.08944251","21.33","-","-","-","-","-","-","50.39",NA
"1041","TIGRAY","Enda- baguna ","December","2018","38.19317204","13.97860867","22.62","-","-","-","-","-","-","21.74",NA
"1042","TIGRAY","Adwa","December","2018","38.88818805","14.14845458","-","-","-","-","21.59","-","-","38.36",NA
"1043","TIGRAY","Axum","December","2018","38.71879888","14.11130791","-","-","-","-","33.33","-","-","26.09",NA
"1044","TIGRAY","Adigrat","December","2018","39.46033457","14.26667752","15.49","-","15.14","18.00","-","-","-","26.38",NA
"1045","TIGRAY","Wukiro","December","2018","39.599747","13.796083","14.16","-","12.05","-","20.14","-","-","50.64",NA
"1046","TIGRAY","Mai- chew ","December","2018","39.541533","12.78792086","-","11.23","-","-","-","-","-","14.86",NA
"1047","TIGRAY","Mekelle","December","2018","39.47221911","13.48719005","20.00","-","15.49","-","-","-","-","50.00",NA
"1048","AFAR","Ayisaeta","December","2018","41.43333","11.56667","18.97","15.00","-","-","-","-","-","40.00",NA
"1049","AFAR","Semera Logia ","December","2018",NA,NA,"18.49","-","15.00","15.00","-","-","-","30.00",NA
"1050","AFAR","Melka Werers ","December","2018","40.18154914","9.340880502","17.49","14.49","-","17.49","-","-","-","26.35",NA
"1051","AFAR","Sebat killo ","December","2018","8.983333333","40.16666667","15.00","13.25","14.25","15.25","-","-","-","24.49",NA
"1052","TIGRAY","Enda- silase ","February","2019","38.27211005","14.08944251","21.19","-","-","-","-","-","-","53.70",NA
"1053","TIGRAY","Enda- baguna ","February","2019","38.19317204","13.97860867","16.00","-","-","-","-","-","-","22.00",NA
"1054","TIGRAY","Adwa","February","2019","38.88818805","14.14845458","11.13","-","-","-","30.07","-","-","27.40",NA
"1055","TIGRAY","Axum","February","2019","38.71879888","14.11130791","21.12","-","-","-","36.05","-","-","26.09",NA
"1056","TIGRAY","Adigrat","February","2019","39.46033457","14.26667752","16.49","-","16.99","18.00","-","-","-","32.97",NA
"1057","TIGRAY","Wukiro","February","2019","39.599747","13.796083","13.64","-","13.33","-","18.70","-","-","50.64",NA
"1058","TIGRAY","Mai- chew ","February","2019","39.541533","12.78792086","10.87","12.73","-","-","-","-","-","-",NA
"1059","TIGRAY","Mekelle","February","2019","39.47221911","13.48719005","20.00","-","14.49","-","-","-","-","55.00",NA
"1060","AFAR","Ayisaeta","February","2019","41.43333","11.56667","18.97","-","15.00","-","-","-","-","-",NA
"1061","AFAR","Semera Logia ","February","2019",NA,NA,"16.00","-","15.00","15.00","-","-","-","30.00",NA
"1062","AFAR","Melka Werers ","February","2019","40.18154914","9.340880502","16.00","-","-","16.00","-","-","-","28.58",NA
"1063","AFAR","Sebat killo ","February","2019","8.983333333","40.16666667","15.00","14.25","14.75","16.00","-","-","-","25.00",NA
"1064","TIGRAY","Enda- silase ","January","2019","38.27211005","14.08944251","20.97","-","-","-","-","-","-","55.83",NA
"1065","TIGRAY","Enda- baguna ","January","2019","38.19317204","13.97860867","18.98","-","-","-","-","-","-","28.99",NA
"1066","TIGRAY","Adwa","January","2019","38.88818805","14.14845458","-","-","-","-","30.07","-","-","-",NA
"1067","TIGRAY","Axum","January","2019","38.71879888","14.11130791","20.32","-","-","-","31.85","-","-","27.28",NA
"1068","TIGRAY","Adigrat","January","2019","39.46033457","14.26667752","16.00","18.21","18.21","18.00","-","-","-","28.68",NA
"1069","TIGRAY","Wukiro","January","2019","39.599747","13.796083","16.95","-","15.26","-","19.44","-","-","45.57",NA
"1070","TIGRAY","Mai- chew ","January","2019","39.541533","12.78792086","-","14.05","-","-","-","-","-","-",NA
"1071","TIGRAY","Mekelle","January","2019","39.47221911","13.48719005","20.00","-","14.49","-","-","-","-","50.00",NA
"1072","AFAR","Ayisaeta","January","2019","41.43333","11.56667","18.97","-","11.49","-","-","-","-","40.00",NA
"1073","AFAR","Semera Logia ","January","2019",NA,NA,"17.49","-","15.00","15.00","-","-","-","30.00",NA
"1074","AFAR","Melka Werers ","January","2019","40.18154914","9.340880502","16.00","-","-","16.00","-","-","-","28.58",NA
"1075","AFAR","Sebat killo ","January","2019","8.983333333","40.16666667","15.00","13.75","14.00","15.00","-","-","-","25.00",NA
"1076","TIGRAY","Enda- silase ","July","2018","38.27211005","14.08944251","19.61","-","-","-","-","-","-","53.94",NA
"1077","TIGRAY","Enda- baguna ","July","2018","38.19317204","13.97860867","-","-","-","-","-","-","-","-",NA
"1078","TIGRAY","Adwa","July","2018","38.88818805","14.14845458","11.13","-","-","-","30.82","-","-","27.40",NA
"1079","TIGRAY","Axum","July","2018","38.71879888","14.11130791","13.91","-","-","-","35.77","-","-","25.81",NA
"1080","TIGRAY","Adigrat","July","2018","39.46033457","14.26667752","14.49","-","15.32","-","-","-","-","26.97",NA
"1081","TIGRAY","Wukiro","July","2018","39.599747","13.796083","14.05","-","12.73","-","16.44","-","-","35.45",NA
"1082","TIGRAY","Mai- chew ","July","2018","39.541533","12.78792086","12.72","14.01","-","-","-","-","-","-",NA
"1083","TIGRAY","Mekelle","July","2018","39.47221911","13.48719005","14.49","-","13.00","-","-","-","-","50.00",NA
"1084","AFAR","Ayisaeta","July","2018","41.43333","11.56667","17.00","-","12.00","-","-","-","-","-",NA
"1085","AFAR","Semera Logia ","July","2018",NA,NA,"15.00","-","12.49","15.00","-","-","-","-",NA
"1086","AFAR","Melka Werers ","July","2018","40.18154914","9.340880502","15.49","-","-","15.49","-","-","-","26.35",NA
"1087","AFAR","Sebat killo ","July","2018","8.983333333","40.16666667","14.00","12.25","13.00","14.00","-","-","-","20.00",NA
"1088","TIGRAY","Enda- silase ","March","2019","38.27211005","14.08944251","21.42","-","-","-","-","-","-","49.01",NA
"1089","TIGRAY","Enda- baguna ","March","2019","38.19317204","13.97860867","-","-","-","-","-","-","-","26.39",NA
"1090","TIGRAY","Adwa","March","2019","38.88818805","14.14845458","11.13","-","-","-","26.31","-","-","27.40",NA
"1091","TIGRAY","Axum","March","2019","38.71879888","14.11130791","17.67","-","-","-","40.76","-","-","39.76",NA
"1092","TIGRAY","Adigrat","March","2019","39.46033457","14.26667752","16.49","-","18.22","18.00","-","-","-","32.61",NA
"1093","TIGRAY","Wukiro","March","2019","39.599747","13.796083","14.29","-","11.01","-","18.18","-","-","38.96",NA
"1094","TIGRAY","Mai- chew ","March","2019","39.541533","12.78792086","12.37","12.94","-","-","-","-","-","21.54",NA
"1095","TIGRAY","Mekelle","March","2019","39.47221911","13.48719005","20.00","-","15.49","-","-","-","-","55.00",NA
"1096","AFAR","Asayieta","March","2019",NA,NA,"18.97","15.00","13.00","-","-","-","-","-",NA
"1097","AFAR","Semera Logia ","March","2019",NA,NA,"18.00","-","16.00","15.00","-","-","-","37.42",NA
"1098","AFAR","Melka Werers ","March","2019","40.18154914","9.340880502","16.00","-","-","16.00","-","-","-","28.58",NA
"1099","AFAR","Sebat killo ","March","2019","8.983333333","40.16666667","14.00","13.00","13.00","15.00","-","-","-","20.00",NA
"1100","TIGRAY","Enda- silase ","May","2019","38.27211005","14.08944251","17.49","-","-","-","-","-","-","-",NA
"1101","TIGRAY","Enda- baguna ","May","2019","38.19317204","13.97860867","21.61","-","-","-","-","-","-","26.32",NA
"1102","TIGRAY","Adwa","May","2019","38.88818805","14.14845458","-","-","-","-","30.53","-","-","32.88",NA
"1103","TIGRAY","Axum","May","2019","38.71879888","14.11130791","12.93","-","-","-","56.24","-","-","27.45",NA
"1104","TIGRAY","Adigrat","May","2019","39.46033457","14.26667752","16.49","-","18.23","18.00","-","-","-","32.94",NA
"1105","TIGRAY","Wukiro","May","2019","39.599747","13.796083","14.17","-","15.12","-","-","-","-","50.64",NA
"1106","TIGRAY","Mai- chew ","May","2019","39.541533","12.78792086","14.60","13.25","-","-","-","-","-","20.45",NA
"1107","TIGRAY","Mekelle","May","2019","39.47221911","13.48719005","23.49","-","16.49","-","-","-","-","55.00",NA
"1108","AFAR","Ayisaeta","May","2019","41.43333","11.56667","18.97","-","15.49","-","-","-","-","-",NA
"1109","AFAR","Semera Logia ","May","2019",NA,NA,"20.00","-","17.00","20.00","-","-","-","30.00",NA
"1110","AFAR","Melka Werers ","May","2019","40.18154914","9.340880502","17.49","-","-","17.49","-","-","-","26.35",NA
"1111","AFAR","Sebat killo ","May","2019","8.983333333","40.16666667","15.00","13.25","13.00","15.00","-","-","-","20.00",NA
"1112","TIGRAY","Enda- silase ","November","2018","38.27211005","14.08944251","18.80","-","-","-","-","-","-","-",NA
"1113","TIGRAY","Enda- baguna ","November","2018","38.19317204","13.97860867","16.57","-","-","-","-","-","-","21.86",NA
"1114","TIGRAY","Adwa","November","2018","38.88818805","14.14845458","-","-","-","-","29.20","-","-","28.17",NA
"1115","TIGRAY","Axum","November","2018","38.71879888","14.11130791","22.18","-","-","-","29.20","-","-","-",NA
"1116","TIGRAY","Adigrat","November","2018","39.46033457","14.26667752","15.49","-","13.00","18.00","-","-","-","34.24",NA
"1117","TIGRAY","Wukiro","November","2018","39.599747","13.796083","14.42","-","13.91","-","17.93","-","-","40.51",NA
"1118","TIGRAY","Mai- chew ","November","2018","39.541533","12.78792086","-","12.48","-","-","-","-","-","-",NA
"1119","TIGRAY","Mekelle","November","2018","39.47221911","13.48719005","20.00","-","15.49","-","-","-","-","50.00",NA
"1120","AFAR","Ayisaeta","November","2018","41.43333","11.56667","18.97","-","-","-","-","-","-","40.00",NA
"1121","AFAR","Semera Logia ","November","2018",NA,NA,"18.97","-","15.00","15.00","-","-","-","30.00",NA
"1122","AFAR","Melka Werers ","November","2018","40.18154914","9.340880502","16.00","-","-","16.00","-","-","-","25.00",NA
"1123","AFAR","Sebat killo ","November","2018","8.983333333","40.16666667","13.25","11.75","13.00","14.00","-","-","-","24.49",NA
"1124","TIGRAY","Enda- silase ","October","2018","38.27211005","14.08944251","17.17","-","-","-","-","-","-","39.48",NA
"1125","TIGRAY","Enda- baguna ","October","2018","38.19317204","13.97860867","15.83","-","-","-","-","-","-","16.60",NA
"1126","TIGRAY","Adwa","October","2018","38.88818805","14.14845458","-","-","-","-","29.63","-","-","27.40",NA
"1127","TIGRAY","Axum","October","2018","38.71879888","14.11130791","20.92","-","-","-","31.03","-","-","19.61",NA
"1128","TIGRAY","Adigrat","October","2018","39.46033457","14.26667752","16.49","-","15.14","-","-","-","-","26.97",NA
"1129","TIGRAY","Wukiro","October","2018","39.599747","13.796083","17.70","-","16.52","-","18.44","-","-","53.17",NA
"1130","TIGRAY","Mai- chew ","October","2018","39.541533","12.78792086","-","13.30","-","-","-","-","-","19.20",NA
"1131","TIGRAY","Mekelle","October","2018","39.47221911","13.48719005","22.49","-","14.49","-","-","-","-","50.00",NA
"1132","AFAR","Ayisaeta","October","2018","41.43333","11.56667","18.00","-","11.49","-","-","-","-","-",NA
"1133","AFAR","Semera Logia ","October","2018",NA,NA,"18.97","-","15.00","-","-","-","-","-",NA
"1134","AFAR","Melka Werers ","October","2018","40.18154914","9.340880502","15.49","-","-","14.49","-","-","-","27.12",NA
"1135","AFAR","Sebat killo ","October","2018","8.983333333","40.16666667","14.25","12.49","13.00","14.50","-","-","-","22.49",NA
"1136","TIGRAY","Enda- silase ","September","2018","38.27211005","14.08944251","18.61","-","-","-","-","-","-","41.67",NA
"1137","TIGRAY","Enda- baguna ","September","2018","38.19317204","13.97860867","17.43","-","-","-","-","-","-","21.39",NA
"1138","TIGRAY","Adwa","September","2018","38.88818805","14.14845458","11.13","-","-","-","30.07","-","-","27.40",NA
"1139","TIGRAY","Axum","September","2018","38.71879888","14.11130791","14.22","-","-","-","37.08","-","-","21.74",NA
"1140","TIGRAY","Adigrat","September","2018","39.46033457","14.26667752","15.49","-","15.95","18.00","-","-","-","23.95",NA
"1141","TIGRAY","Wukiro","September","2018","39.599747","13.796083","16.81","-","15.93","-","-","-","-","35.90",NA
"1142","TIGRAY","Mai- chew ","September","2018","39.541533","12.78792086","12.97","14.24","-","-","-","-","-","17.99",NA
"1143","TIGRAY","Mekelle","September","2018","39.47221911","13.48719005","22.00","-","15.00","-","-","-","-","50.00",NA
"1144","AFAR","Ayisaeta","September","2018","41.43333","11.56667","20.00","15.00","-","-","-","-","-","-",NA
"1145","AFAR","Semera Logia ","September","2018",NA,NA,"18.44","-","14.49","-","-","-","-","50.00",NA
"1146","AFAR","Melka Werers ","September","2018","40.18154914","9.340880502","15.49","-","-","15.49","-","-","-","26.35",NA
"1147","AFAR","Sebat killo ","September","2018","8.983333333","40.16666667","16.00","12.49","12.49","15.49","-","-","-","26.35",NA
