"","Region","Market","Month","Year","Longitude","Latitude","pkg.wht.white","pkg.wht.mixed","pkg.wht.blred","pkg.wht.millw","pkg.wht.millm","pkg.wht.bread","pkg.wht.maltw","pkg.wht.allwh"
"600","Snnp","Awasa","January",2014,38.474819,7.058624,10,NA,9.65,NA,NA,5.25,12,10
"601","Snnp","Hagere- Selam ","January",2014,38.51921184,6.513880636,6.11,NA,NA,NA,NA,3.57,10.77,6.11
"602","Snnp","Dilla","January",2014,38.30745962,6.410516676,9.49,NA,8.96,NA,NA,3.5,NA,9.49
"603","Snnp","Yirega-¦ Chefie ","January",2014,38.1988827,6.16095383,9.65,8,NA,NA,NA,4.21,10,9.65
"604","Snnp","Welikite","July",2013,37.77266735,8.27732366,7.83,NA,NA,NA,NA,3.63,15.32,7.83
"605","Snnp","Butajira","July",2013,38.42140499,8.173264069,8.3,NA,10.47,NA,NA,5,10,8.3
"606","Snnp","Hosahna","July",2013,37.84747123,7.538579317,8,NA,NA,NA,NA,3.5,12.77,8
"607","Snnp","Shone","July",2013,37.94869425,7.134857075,7.3,NA,NA,NA,NA,4.78,NA,7.3
"608","Snnp","Doyugena","July",2013,37.78333,7.33333,7.5,NA,NA,NA,NA,3.5,NA,7.5
"609","Snnp","Alaba","July",2013,38.086143,7.311546,7.5,NA,NA,NA,NA,3.89,10,7.5
"610","Snnp","Awasa","July",2013,38.474819,7.058624,9,NA,8,NA,NA,4.38,NA,9
"611","Snnp","Hagere- Selam ","July",2013,38.51921184,6.513880636,7.02,NA,NA,NA,NA,3.28,10,7.02
"612","Snnp","Dilla","July",2013,38.30745962,6.410516676,9.49,NA,8.14,NA,NA,3.39,NA,9.49
"613","Snnp","Yirega-¦ Chefie ","July",2013,38.1988827,6.16095383,9,NA,9,NA,NA,4.38,10.32,9
"614","Snnp","Welikite","June",2014,37.77266735,8.27732366,9.2,NA,NA,NA,NA,3.76,17.25,9.2
"615","Snnp","Butajira","June",2014,38.42140499,8.173264069,10.13,NA,NA,NA,NA,4.38,10.35,10.13
"616","Snnp","Hosahna","June",2014,37.84747123,7.538579317,9.5,NA,NA,NA,NA,4.38,13.33,9.5
"617","Snnp","Shone","June",2014,37.94869425,7.134857075,7.87,NA,NA,NA,NA,7.09,9.13,7.87
"618","Snnp","Doyugena","June",2014,37.78333,7.33333,9.6,NA,NA,NA,NA,5.12,26.92,9.6
"619","Snnp","Alaba","June",2014,38.086143,7.311546,10,NA,NA,11,NA,4.05,10,10
"620","Snnp","Awasa","June",2014,38.474819,7.058624,12,NA,13,NA,NA,4.54,22.41,12
"621","Snnp","Hagere- Selam ","June",2014,38.51921184,6.513880636,8.59,NA,NA,NA,NA,3.51,13.76,8.59
"622","Snnp","Dilla","June",2014,38.30745962,6.410516676,10.16,NA,9.02,NA,NA,3.5,NA,10.16
"623","Snnp","Yirega-¦ Chefie ","June",2014,38.1988827,6.16095383,10.66,NA,9,NA,NA,4.05,12,10.66
"624","Snnp","Welikite","May",2014,37.77266735,8.27732366,9.37,NA,NA,NA,NA,3.76,17.25,9.37
"625","Snnp","Butajira","May",2014,38.42140499,8.173264069,10.22,NA,NA,NA,NA,4.38,12.5,10.22
"626","Snnp","Hosahna","May",2014,37.84747123,7.538579317,10,NA,NA,NA,NA,4.38,12.77,10
"627","Snnp","Shone","May",2014,37.94869425,7.134857075,8,NA,NA,NA,NA,6.68,9.75,8
"628","Snnp","Doyugena","May",2014,37.78333,7.33333,9.5,NA,NA,NA,NA,4.89,27.65,9.5
"629","Snnp","Alaba","May",2014,38.086143,7.311546,8,NA,NA,9,NA,4.21,11.11,8
"630","Snnp","Awasa","May",2014,38.474819,7.058624,11,NA,10,NA,NA,4.54,22.68,11
"631","Snnp","Hagere- Selam ","May",2014,38.51921184,6.513880636,8.07,NA,NA,NA,NA,3.24,15.14,8.07
"632","Snnp","Dilla","May",2014,38.30745962,6.410516676,10.66,NA,9.32,NA,NA,3.39,NA,10.66
"633","Snnp","Yirega-¦ Chefie ","May",2014,38.1988827,6.16095383,10.66,10,NA,NA,NA,4.21,11,10.66
"634","Snnp","Welikite","November",2013,37.77266735,8.27732366,8.6,NA,NA,NA,NA,4.21,22.41,8.6
"635","Snnp","Butajira","November",2013,38.42140499,8.173264069,9.38,NA,NA,NA,NA,4.38,10.42,9.38
"636","Snnp","Hosahna","November",2013,37.84747123,7.538579317,8,NA,NA,NA,NA,4.38,12.25,8
"637","Snnp","Shone","November",2013,37.94869425,7.134857075,8,NA,NA,NA,NA,6.28,9.14,8
"638","Snnp","Doyugena","November",2013,37.78333,7.33333,8,NA,NA,NA,NA,3.5,27.65,8
"639","Snnp","Alaba","November",2013,38.086143,7.311546,8,NA,NA,NA,9,4.38,15.38,8
"640","Snnp","Awasa","November",2013,38.474819,7.058624,9.32,NA,8,NA,NA,5.4,NA,9.32
"641","Snnp","Hagere- Selam ","November",2013,38.51921184,6.513880636,10.6,NA,NA,NA,NA,3.28,15.14,10.6
"642","Snnp","Dilla","November",2013,38.30745962,6.410516676,9.49,NA,9.32,NA,NA,3.39,NA,9.49
"643","Snnp","Yirega-¦ Chefie ","November",2013,38.1988827,6.16095383,10,NA,NA,NA,NA,4.38,11,10
"644","Snnp","Welikite","October",2013,37.77266735,8.27732366,8.07,NA,NA,NA,NA,3.63,19.74,8.07
"645","Snnp","Butajira","October",2013,38.42140499,8.173264069,8.82,NA,10.53,NA,NA,4.38,10.14,8.82
"646","Snnp","Hosahna","October",2013,37.84747123,7.538579317,8,NA,NA,NA,NA,4.38,13.05,8
"647","Snnp","Shone","October",2013,37.94869425,7.134857075,8,NA,NA,NA,NA,6.28,9.64,8
"648","Snnp","Doyugena","October",2013,37.78333,7.33333,8.5,NA,NA,NA,NA,3.39,26.92,8.5
"649","Snnp","Alaba","October",2013,38.086143,7.311546,8,NA,NA,9,NA,4.05,7.9,8
"650","Snnp","Awasa","October",2013,38.474819,7.058624,9.65,NA,8,NA,NA,5.4,NA,9.65
"651","Snnp","Hagere- Selam ","October",2013,38.51921184,6.513880636,10.37,NA,NA,NA,NA,3.19,14.44,10.37
"652","Snnp","Dilla","October",2013,38.30745962,6.410516676,10,NA,10,NA,NA,3.39,NA,10
"653","Snnp","Yirega-¦ Chefie ","October",2013,38.1988827,6.16095383,10,NA,NA,NA,NA,4.38,10.32,10
"654","Snnp","Welikite","September",2013,37.77266735,8.27732366,8.37,NA,NA,NA,NA,3.63,18.31,8.37
"655","Snnp","Butajira","September",2013,38.42140499,8.173264069,8.44,NA,11.27,10,NA,4.38,9.75,8.44
"656","Snnp","Hosahna","September",2013,37.84747123,7.538579317,8,NA,NA,NA,NA,4.21,13.33,8
"657","Snnp","Shone","September",2013,37.94869425,7.134857075,8,NA,NA,NA,NA,6.43,9.21,8
"658","Snnp","Doyugena","September",2013,37.78333,7.33333,8,NA,NA,NA,NA,3.39,27.65,8
"659","Snnp","Alaba","September",2013,38.086143,7.311546,8,NA,NA,9,NA,4.21,8.33,8
"660","Snnp","Awasa","September",2013,38.474819,7.058624,10,NA,8,NA,NA,5.4,NA,10
"661","Snnp","Hagere- Selam ","September",2013,38.51921184,6.513880636,9.55,NA,NA,NA,NA,3.54,13.76,9.55
"662","Snnp","Dilla","September",2013,38.30745962,6.410516676,8.83,NA,7.71,NA,NA,3.5,NA,8.83
