"","Region","Market","Month","Year","Longitude","Latitude","CEREALS UNMILLED_Wheat White","CEREALS UNMILLED_Wheat Mixed","CEREALS UNMILLED_Wheat Black (Red)","CEREALS MILLED_Wheat White","CEREALS MILLED_Wheat Mixed","BREAD AND OTHER PREPARED FOODS_Bread Wheat (Bakery)","P R I C E   I N    B I R R_Malt-Wheat"
"1","Region","Market","Month","Year","Longitude","Latitude","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS MILLED","CEREALS MILLED","BREAD AND OTHER PREPARED FOODS","P R I C E   I N    B I R R"
"408","OROMIYA","Ambo","MAY","2015","37.8446066","8.976806527","9.21","-","12.42","-","-","4.40","15.00"
"409","OROMIYA","Weliso","MAY","2015","37.97073066","8.534178897","9.54","-","8.33","-","-","3.76","15.47"
"410","OROMIYA","Ejere","MAY","2015","39.262249","8.78288","9.65","-","-","-","-","4.67","-"
"411","OROMIYA","Fiche","MAY","2015","38.73344116","9.791083661","9.06","-","11.47","-","-","4.55","18.14"
"412","OROMIYA","Ghimbi","NOVEMBER","2014","35.83291974","9.163103789","11.00","8.00","-","-","-","5.25","-"
"413","OROMIYA","Dembi- dolo ","NOVEMBER","2014","34.79748694","8.530219501","8.32","7.00","-","-","-","2.80","-"
"414","OROMIYA","Shambu","NOVEMBER","2014","37.09431432","9.569809208","9.19","8.12","8.14","-","-","5.25","-"
"415","OROMIYA","Nekemte","NOVEMBER","2014","36.54851971","9.09042469","12.00","9.00","8.00","-","-","4.93","-"
"416","OROMIYA","Bedele","NOVEMBER","2014","36.36017384","8.454821965","13.00","9.32","9.00","-","-","3.50","-"
"417","OROMIYA","Metu","NOVEMBER","2014","35.58726864","8.300606827","10.00","-","9.00","-","-","3.97","-"
"418","OROMIYA","Jimma","NOVEMBER","2014","36.84385226","7.672338798","12.00","-","10.00","-","-","3.28","-"
"419","OROMIYA","Agaro","NOVEMBER","2014","36.58627683","7.848002731","10.59","-","-","-","-","4.38","10.58"
"420","OROMIYA","Ambo","NOVEMBER","2014","37.8446066","8.976806527","10.92","-","11.50","-","-","4.19","17.83"
"421","OROMIYA","Weliso","NOVEMBER","2014","37.97073066","8.534178897","9.98","-","-","-","-","4.53","20.02"
"422","OROMIYA","Ejere","NOVEMBER","2014","39.262249","8.78288","11.25","-","17.40","-","-","4.67","-"
"423","OROMIYA","Fiche","NOVEMBER","2014","38.73344116","9.791083661","11.48","-","12.28","-","-","4.67","15.72"
"424","OROMIYA","Ghimbi","OCTOBER","2014","35.83291974","9.163103789","10.66","-","-","-","-","5.72","-"
"425","OROMIYA","Dembi- dolo ","OCTOBER","2014","34.79748694","8.530219501","10.00","8.00","-","-","-","2.80","-"
"426","OROMIYA","Shambu","OCTOBER","2014","37.09431432","9.569809208","8.15","8.12","8.09","-","-","4.77","-"
"427","OROMIYA","Nekemte","OCTOBER","2014","36.54851971","9.09042469","10.00","9.00","9.00","-","-","3.55","-"
"428","OROMIYA","Bedele","OCTOBER","2014","36.36017384","8.454821965","8.99","7.97","7.00","-","-","3.50","-"
"429","OROMIYA","Metu","OCTOBER","2014","35.58726864","8.300606827","10.00","-","10.00","-","-","3.97","-"
"430","OROMIYA","Jimma","OCTOBER","2014","36.84385226","7.672338798","12.00","-","10.00","-","-","3.33","-"
"431","OROMIYA","Agaro","OCTOBER","2014","36.58627683","7.848002731","10.59","-","-","-","-","4.38","10.45"
"432","OROMIYA","Ambo","OCTOBER","2014","37.8446066","8.976806527","10.80","-","12.01","-","-","4.19","16.80"
"433","OROMIYA","Weliso","OCTOBER","2014","37.97073066","8.534178897","11.10","-","-","-","-","4.38","16.17"
"434","OROMIYA","Ejere","OCTOBER","2014","39.262249","8.78288","11.64","-","18.41","-","-","-","16.99"
"435","OROMIYA","Fiche","OCTOBER","2014","38.73344116","9.791083661","10.48","-","11.28","-","-","4.86","15.50"
"436","OROMIYA","Ghimbi","OCTOBER.doc","2014.doc","35.83291974","9.163103789","10.83","8.16","-","-","-","5.00","-"
"437","OROMIYA","Dembi- dolo ","OCTOBER.doc","2014.doc","34.79748694","8.530219501","21.54","8.00","-","-","-","3.00","-"
"438","OROMIYA","Shambu","OCTOBER.doc","2014.doc","37.09431432","9.569809208","8.03","8.02","8.00","-","-","4.71","-"
"439","OROMIYA","Nekemte","OCTOBER.doc","2014.doc","36.54851971","9.09042469","10.00","9.00","8.65","-","-","4.95","-"
"440","OROMIYA","Bedele","OCTOBER.doc","2014.doc","36.36017384","8.454821965","13.00","10.32","10.00","-","-","4.29","-"
"441","OROMIYA","Metu","OCTOBER.doc","2014.doc","35.58726864","8.300606827","11.00","-","10.00","-","-","3.97","-"
"442","OROMIYA","Jimma","OCTOBER.doc","2014.doc","36.84385226","7.672338798","12.00","-","10.32","-","-","3.33","-"
"443","OROMIYA","Agaro","OCTOBER.doc","2014.doc","36.58627683","7.848002731","11.76","-","-","-","-","4.38","10.38"
"444","OROMIYA","Ambo","OCTOBER.doc","2014.doc","37.8446066","8.976806527","8.52","-","11.17","-","-","3.99","16.09"
