"","Region","Market","Month","Year","Longitude","Latitude","pkg.wht.white","pkg.wht.mixed","pkg.wht.blred","pkg.wht.millw","pkg.wht.millm","pkg.wht.bread","pkg.wht.maltw"
"237","Amhara","Debre- Markos ","October.doc",NA,37.72636868,10.33641293,8.29,NA,11.23,NA,NA,4.23,19.8
"238","Amhara","Dembecha","October.doc",NA,37.48251554,10.56669266,8.99,NA,NA,NA,NA,4.43,NA
"239","Amhara","Bahir- Dar ","October.doc",NA,37.3815488,11.58416449,11.83,NA,10.49,NA,NA,3.97,16.33
"240","Amhara","Sekota","October.doc",NA,39.03355257,12.62479803,8.45,NA,NA,NA,NA,4.14,NA
"241","Amhara","Amde Work ","October.doc",NA,38.85815043,12.45920199,10.05,NA,NA,NA,NA,3.37,NA
"242","Amhara","Danigla","October.doc",NA,36.83153176,11.25223153,11.02,NA,NA,NA,NA,4.2,21.45
"243","Amhara","Chagni","October.doc",NA,36.50793596,10.95196565,9.32,NA,NA,NA,NA,4.86,18.18
"244","Amhara","Kemise","October.doc",NA,39.85696873,10.71374234,9,9.09,11.01,NA,NA,4.21,19.52
"245","Amhara","Bati","October.doc",NA,40.0181327,11.19153266,NA,NA,NA,NA,NA,6.56,NA
"246","Amhara","Mota","September",2014,37.8807432,11.07475582,9.9,NA,NA,NA,NA,6,NA
"247","Amhara","Debre- Markos ","September",2014,37.72636868,10.33641293,9.85,NA,11.8,NA,NA,5.11,15.01
"248","Amhara","Dembecha","September",2014,37.48251554,10.56669266,9.53,NA,NA,NA,NA,4.35,NA
"249","Amhara","Bahir- Dar ","September",2014,37.3815488,11.58416449,12.66,NA,11.66,NA,NA,3.97,15.33
"250","Amhara","Sekota","September",2014,39.03355257,12.62479803,9.71,NA,NA,NA,NA,4.14,NA
"251","Amhara","Amde Work ","September",2014,38.85815043,12.45920199,10.29,NA,NA,NA,NA,3.89,NA
"252","Amhara","Danigla","September",2014,36.83153176,11.25223153,12.12,NA,NA,NA,NA,3.63,20.78
"253","Amhara","Chagni","September",2014,36.50793596,10.95196565,9.5,NA,NA,NA,NA,4.51,17.16
"254","Amhara","Kemise","September",2014,39.85696873,10.71374234,10.91,NA,11.85,NA,NA,4.21,19.01
"255","Amhara","Bati","September",2014,40.0181327,11.19153266,NA,NA,NA,NA,NA,6.86,18.42
"256","Gambella","Gambella","August",2014,34.58547076,8.249396585,15.66,NA,NA,NA,NA,3.69,NA
"257","Gambella","Shebo- Kire ","August",2014,NA,NA,NA,NA,NA,NA,NA,4.78,NA
"258","Gambella","Meti","August",2014,7.233333333,35.31666667,10,10,NA,NA,NA,5.12,NA
"259","Diredawa","Dire Dawa ","August",2014,41.8572763,9.593652332,12.49,NA,10.95,NA,NA,4.93,16.49
"260","Diredawa","Melka- Jebdu ","August",2014,41.77420401,9.617496554,13.66,NA,10,NA,NA,4.51,NA
"261","Gambella","Gambella","December",2014,34.58547076,8.249396585,14.64,NA,NA,NA,NA,3.57,NA
