"","Region","Market","Month","Year","Longitude","Latitude","Unmilled Maize Price Birr.KG","Milled Maize Price Birr.KG"
"333","OROMIYA","Ejere","FEBRUARY","2014","39.262249","8.78288","6.23","-"
"334","OROMIYA","Fiche","FEBRUARY","2014","38.73344116","9.791083661","6.03","-"
"335","OROMIYA","Ghimbi","JANUARY","2014","35.83291974","9.163103789","5.00","-"
"336","OROMIYA","Dembi- dolo ","JANUARY","2014","34.79748694","8.530219501","4.00","-"
"337","OROMIYA","Shambu","JANUARY","2014","37.09431432","9.569809208","5.85","-"
"338","OROMIYA","Nekemte","JANUARY","2014","36.54851971","9.09042469","4.27","5.06"
"339","OROMIYA","Bedele","JANUARY","2014","36.36017384","8.454821965","5.00","6.25"
"340","OROMIYA","Metu","JANUARY","2014","35.58726864","8.300606827","4.50","6.00"
"341","OROMIYA","Jimma","JANUARY","2014","36.84385226","7.672338798","5.28","8.22"
"342","OROMIYA","Agaro","JANUARY","2014","36.58627683","7.848002731","4.71","8.00"
"343","OROMIYA","Ambo","JANUARY","2014","37.8446066","8.976806527","5.22","-"
"344","OROMIYA","Weliso","JANUARY","2014","37.97073066","8.534178897","5.57","6.93"
"345","OROMIYA","Ejere","JANUARY","2014","39.262249","8.78288","5.91","-"
"346","OROMIYA","Fiche","JANUARY","2014","38.73344116","9.791083661","5.72","-"
"347","OROMIYA","Ghimbi","JULY","2013","35.83291974","9.163103789","5.50","-"
"348","OROMIYA","Dembi- dolo ","JULY","2013","34.79748694","8.530219501","5.00","-"
"349","OROMIYA","Shambu","JULY","2013","37.09431432","9.569809208","5.72","-"
"350","OROMIYA","Nekemte","JULY","2013","36.54851971","9.09042469","5.50","4.97"
"351","OROMIYA","Bedele","JULY","2013","36.36017384","8.454821965","4.90","8.58"
"352","OROMIYA","Metu","JULY","2013","35.58726864","8.300606827","5.16","7.00"
"353","OROMIYA","Jimma","JULY","2013","36.84385226","7.672338798","6.37","8.57"
"354","OROMIYA","Agaro","JULY","2013","36.58627683","7.848002731","5.84","8.00"
"355","OROMIYA","Ambo","JULY","2013","37.8446066","8.976806527","7.15","-"
"356","OROMIYA","Weliso","JULY","2013","37.97073066","8.534178897","6.35","6.93"
"357","OROMIYA","Ejere","JULY","2013","39.262249","8.78288","6.71","-"
"358","OROMIYA","Fiche","JULY","2013","38.73344116","9.791083661","6.12","-"
"359","OROMIYA","Ghimbi","JUNE","2014","35.83291974","9.163103789","5.00","-"
"360","OROMIYA","Dembi- dolo ","JUNE","2014","34.79748694","8.530219501","4.00","-"
"361","OROMIYA","Shambu","JUNE","2014","37.09431432","9.569809208","5.45","-"
"362","OROMIYA","Nekemte","JUNE","2014","36.54851971","9.09042469","4.93","7.21"
"363","OROMIYA","Bedele","JUNE","2014","36.36017384","8.454821965","4.80","6.83"
"364","OROMIYA","Metu","JUNE","2014","35.58726864","8.300606827","5.00","7.00"
"365","OROMIYA","Jimma","JUNE","2014","36.84385226","7.672338798","6.00","10.57"
"366","OROMIYA","Agaro","JUNE","2014","36.58627683","7.848002731","5.59","8.00"
"367","OROMIYA","Ambo","JUNE","2014","37.8446066","8.976806527","6.21","-"
"368","OROMIYA","Weliso","JUNE","2014","37.97073066","8.534178897","5.63","8.57"
"369","OROMIYA","Ejere","JUNE","2014","39.262249","8.78288","7.28","-"
"370","OROMIYA","Fiche","JUNE","2014","38.73344116","9.791083661","6.46","-"
"371","OROMIYA","Ghimbi","MAY","2014","35.83291974","9.163103789","5.00","-"
"372","OROMIYA","Dembi- dolo ","MAY","2014","34.79748694","8.530219501","4.00","-"
"373","OROMIYA","Shambu","MAY","2014","37.09431432","9.569809208","5.08","-"
"374","OROMIYA","Nekemte","MAY","2014","36.54851971","9.09042469","5.00","5.87"
"375","OROMIYA","Bedele","MAY","2014","36.36017384","8.454821965","4.50","7.38"
"376","OROMIYA","Metu","MAY","2014","35.58726864","8.300606827","5.00","7.00"
"377","OROMIYA","Jimma","MAY","2014","36.84385226","7.672338798","6.00","8.45"
"378","OROMIYA","Agaro","MAY","2014","36.58627683","7.848002731","5.29","8.00"
"379","OROMIYA","Ambo","MAY","2014","37.8446066","8.976806527","5.68","-"
"380","OROMIYA","Weliso","MAY","2014","37.97073066","8.534178897","5.37","8.84"
"381","OROMIYA","Ejere","MAY","2014","39.262249","8.78288","6.78","-"
"382","OROMIYA","Fiche","MAY","2014","38.73344116","9.791083661","6.29","-"
"383","OROMIYA","Ghimbi","NOVEMBER","2013","35.83291974","9.163103789","7.50","-"
"384","OROMIYA","Dembi- dolo ","NOVEMBER","2013","34.79748694","8.530219501","7.00","-"
"385","OROMIYA","Shambu","NOVEMBER","2013","37.09431432","9.569809208","8.96","-"
"386","OROMIYA","Nekemte","NOVEMBER","2013","36.54851971","9.09042469","7.00","7.16"
"387","OROMIYA","Bedele","NOVEMBER","2013","36.36017384","8.454821965","5.00","8.97"
"388","OROMIYA","Metu","NOVEMBER","2013","35.58726864","8.300606827","6.16","7.50"
"389","OROMIYA","Jimma","NOVEMBER","2013","36.84385226","7.672338798","6.65","10.72"
"390","OROMIYA","Agaro","NOVEMBER","2013","36.58627683","7.848002731","5.88","8.66"
"391","OROMIYA","Ambo","NOVEMBER","2013","37.8446066","8.976806527","9.00","-"
"392","OROMIYA","Weliso","NOVEMBER","2013","37.97073066","8.534178897","6.35","11.55"
"393","OROMIYA","Ejere","NOVEMBER","2013","39.262249","8.78288","7.14","-"
"394","OROMIYA","Fiche","NOVEMBER","2013","38.73344116","9.791083661","7.18","-"
"395","OROMIYA","Ghimbi","OCTOBER","2013","35.83291974","9.163103789","8.16","-"
"396","OROMIYA","Dembi- dolo ","OCTOBER","2013","34.79748694","8.530219501","7.00","-"
"397","OROMIYA","Shambu","OCTOBER","2013","37.09431432","9.569809208","8.94","-"
"398","OROMIYA","Nekemte","OCTOBER","2013","36.54851971","9.09042469","7.63","7.09"
"399","OROMIYA","Bedele","OCTOBER","2013","36.36017384","8.454821965","7.32","7.44"
"400","OROMIYA","Metu","OCTOBER","2013","35.58726864","8.300606827","6.49","9.00"
"401","OROMIYA","Jimma","OCTOBER","2013","36.84385226","7.672338798","7.32","10.57"
"402","OROMIYA","Agaro","OCTOBER","2013","36.58627683","7.848002731","7.35","10.00"
"403","OROMIYA","Ambo","OCTOBER","2013","37.8446066","8.976806527","9.01","-"
"404","OROMIYA","Weliso","OCTOBER","2013","37.97073066","8.534178897","7.84","11.20"
"405","OROMIYA","Ejere","OCTOBER","2013","39.262249","8.78288","7.18","-"
"406","OROMIYA","Fiche","OCTOBER","2013","38.73344116","9.791083661","7.36","-"
"407","OROMIYA","Ghimbi","SEPTEMBER(1)","2013(1)","35.83291974","9.163103789","6.83","-"
"408","OROMIYA","Dembi- dolo ","SEPTEMBER(1)","2013(1)","34.79748694","8.530219501","5.00","-"
"409","OROMIYA","Shambu","SEPTEMBER(1)","2013(1)","37.09431432","9.569809208","7.11","-"
"410","OROMIYA","Nekemte","SEPTEMBER(1)","2013(1)","36.54851971","9.09042469","6.67","-"
"411","OROMIYA","Bedele","SEPTEMBER(1)","2013(1)","36.36017384","8.454821965","7.67","-"
"412","OROMIYA","Metu","SEPTEMBER(1)","2013(1)","35.58726864","8.300606827","6.83","9.00"
"413","OROMIYA","Jimma","SEPTEMBER(1)","2013(1)","36.84385226","7.672338798","7.00","10.72"
"414","OROMIYA","Agaro","SEPTEMBER(1)","2013(1)","36.58627683","7.848002731","7.35","10.00"
"415","OROMIYA","Ambo","SEPTEMBER(1)","2013(1)","37.8446066","8.976806527","7.56","-"
"416","OROMIYA","Weliso","SEPTEMBER(1)","2013(1)","37.97073066","8.534178897","7.75","8.84"
"417","OROMIYA","Ejere","SEPTEMBER(1)","2013(1)","39.262249","8.78288","6.92","-"
