"","Region","Market","Month","Year","Longitude","Latitude","pkg.bar.white","pkg.bar.mixed","pkg.bar.black","pkg.bar.bbeer","pkg.bar.temez","pkg.bar.millw","pkg.bar.millm","pkg.bar.maltb","pkg.bar.hullb","pkg.bar.allba"
"822","Snnp","Soyama","March",2019,5.7,37.88333333,18.18,15.89,12.66,NA,NA,NA,NA,NA,NA,18.18
"823","Snnp","Karate","March",2019,5.25,37.48333333,17.04,NA,NA,NA,40.65,NA,NA,NA,NA,17.04
"824","Snnp","Gidola","March",2019,37.34772952,5.647078098,14.12,12.05,14.12,NA,NA,NA,NA,NA,NA,14.12
"825","Snnp","Tercha","March",2019,37.175334,7.146295,20.49,16,17,NA,NA,NA,NA,NA,NA,20.49
"826","Snnp","Besite- Chere ","March",2019,NA,NA,20,15,17.49,NA,NA,NA,NA,NA,NA,20
"827","Snnp","Lasoka","March",2019,36.60777815,6.30774507,9.81,9.62,9.81,NA,21.06,NA,NA,16.71,NA,9.81
"828","Snnp","Amaya","March",2019,36.68000727,7.105541206,10.99,10.87,10.82,NA,NA,NA,NA,NA,NA,10.99
"829","Snnp","Shewa- Bench ","May",2019,NA,NA,16,10,12,NA,NA,40,35,33.33,NA,16
"830","Snnp","Mizan- Teferi ","May",2019,35.41120174,6.883477024,15,12.49,11.49,NA,NA,40,NA,20,NA,15
"831","Snnp","Deri","May",2019,36.28577951,7.384839762,NA,10.71,10.71,NA,NA,NA,NA,NA,NA,10.71
"832","Snnp","Amaro Kele ","May",2019,6.083333333,38.03333333,17.57,NA,17.84,17.69,NA,NA,NA,NA,NA,17.57
"833","Snnp","Soyama","May",2019,5.7,37.88333333,NA,NA,18.18,NA,NA,NA,NA,NA,NA,18.18
"834","Snnp","Karate","May",2019,5.25,37.48333333,17.07,NA,NA,NA,NA,NA,NA,NA,NA,17.07
"835","Snnp","Gidola","May",2019,37.34772952,5.647078098,19.55,15.77,16.55,NA,23.98,NA,NA,NA,NA,19.55
"836","Snnp","Tercha","May",2019,37.175334,7.146295,NA,15.49,14.49,NA,NA,NA,NA,NA,NA,15.49
"837","Snnp","Besite- Chere ","May",2019,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,16
"838","Snnp","Lasoka","May",2019,36.60777815,6.30774507,9.81,NA,11.32,NA,18.87,NA,NA,15.16,NA,9.81
"839","Snnp","Amaya","May",2019,36.68000727,7.105541206,9.68,9.45,9.4,NA,18.74,NA,NA,NA,NA,9.68
"840","Snnp","Shewa- Bench ","November",2018,NA,NA,16,13,15,NA,NA,45,35,30.86,NA,16
"841","Snnp","Mizan- Teferi ","November",2018,35.41120174,6.883477024,15.49,13.49,13,NA,NA,40,NA,20,NA,15.49
