"","Region","Market","Month","Year","Longitude","Latitude","pkg.bar.white","pkg.bar.mixed","pkg.bar.black","pkg.bar.bbeer","pkg.bar.temez","pkg.bar.millw","pkg.bar.millm","pkg.bar.maltb","pkg.bar.allba"
"557","Oromiya","Shashe- Mene ","October",2017,38.608142,7.205388,13.49,14,16.49,17,NA,NA,NA,20,13.49
"558","Oromiya","Diksise","October",2017,39.55824,8.059179,10.29,9.28,9.28,15.21,NA,NA,NA,NA,10.29
"559","Oromiya","Asella","October",2017,39.12972322,7.949589951,14,12,12,12.96,NA,NA,NA,26.32,14
"560","Oromiya","Asebe- Teferi ","October",2017,40.86319806,9.072493603,18.49,14,NA,18.49,NA,NA,NA,38.66,18.49
"561","Oromiya","Bedessa","October",2017,40.77378712,8.902011546,20,NA,NA,NA,NA,NA,NA,NA,20
"562","Oromiya","Haromaya","October",2017,42.01641123,9.379383214,20,NA,NA,20,NA,NA,NA,NA,20
"563","Oromiya","Boreda","October",2017,41.278686,9.331067,18,NA,NA,NA,NA,NA,NA,NA,18
"564","Oromiya","Adaba","October",2017,39.3890878,7.004454253,12.62,10.59,10.69,13.57,NA,NA,NA,NA,12.62
"565","Oromiya","Robe","October",2017,39.631104,7.860619,13.24,9.06,NA,NA,NA,NA,NA,NA,13.24
"566","Oromiya","Hagere- Mariam ","October",2017,38.23373735,5.63380625,10.49,NA,NA,14.49,NA,NA,NA,11.11,10.49
"567","Oromiya","Negele- Borena ","October",2017,39.577385,5.33699,10,10,10,NA,NA,35,30,NA,10
"568","Oromiya","Adama","September",2017,39.26941988,8.535362997,13,11.49,11,12.49,13.49,20.98,NA,16,13
"569","Oromiya","Shashe- Mene ","September",2017,38.608142,7.205388,11.49,12,15,16,NA,NA,NA,15,11.49
"570","Oromiya","Diksise","September",2017,39.55824,8.059179,10.87,9.28,9.28,13.04,NA,NA,NA,NA,10.87
"571","Oromiya","Asella","September",2017,39.12972322,7.949589951,13,12,12,12,NA,NA,NA,22.86,13
"572","Oromiya","Asebe- Teferi ","September",2017,40.86319806,9.072493603,17,NA,14,17,NA,NA,NA,39.39,17
"573","Oromiya","Bedessa","September",2017,40.77378712,8.902011546,17,NA,NA,NA,NA,NA,NA,NA,17
