"","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley White","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Mixed","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Black","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley for Beer","P R I C E   I N    B I R R_Hulled Barley (Temez)","CEREALS MILLED_Barley White","CEREALS MILLED_Barley Mixed","01.2.1.1 COFFEE AND TEA_Malt-Barley"
"1","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","P R I C E   I N    B I R R","CEREALS MILLED","CEREALS MILLED","01.2.1.1 COFFEE AND TEA"
"853","SNNP","Shewa- Bench ","February","2018",NA,NA,"15.00","10.00","14.00","-","-","-","-","25.78"
"854","SNNP","Mizan- Teferi ","February","2018","35.41120174","6.883477024","15.49","12.00","10.00","-","-","-","-","20.00"
"855","SNNP","Deri","February","2018","36.28577951","7.384839762","14.12","13.79","13.64","-","-","-","-","23.15"
"856","SNNP","Amaro Kele ","February","2018","6.083333333","38.03333333","13.89","-","15.89","-","19.46","-","-","-"
"857","SNNP","Soyama","February","2018","5.7","37.88333333","9.21","8.61","-","-","-","-","-","-"
"858","SNNP","Karate","February","2018","5.25","37.48333333","12.58","-","-","-","-","-","-","-"
"859","SNNP","Gidola","February","2018","37.34772952","5.647078098","13.87","11.96","15.56","-","21.16","-","-","-"
"860","SNNP","Tercha","February","2018","37.175334","7.146295","18.00","16.00","15.00","-","-","-","-","-"
"861","SNNP","Besite- chere ","February","2018",NA,NA,"20.00","17.00","17.00","-","-","-","-","-"
"862","SNNP","Lasoka","February","2018","36.60777815","6.30774507","9.81","-","10.00","-","19.61","-","-","15.63"
"863","SNNP","Amaya","February","2018","36.68000727","7.105541206","10.06","10.33","10.13","-","9.66","-","-","-"
"864","SNNP","Shewa- Bench ","January","2018",NA,NA,"18.00","16.00","18.00","-","-","-","-","28.87"
"865","SNNP","Mizan- Teferi ","January","2018","35.41120174","6.883477024","15.00","12.00","10.00","-","-","-","-","20.00"
"866","SNNP","Deri","January","2018","36.28577951","7.384839762","13.79","13.48","13.48","-","-","-","-","23.08"
"867","SNNP","Amaro Kele ","January","2018","6.083333333","38.03333333","14.76","-","15.29","-","17.58","-","-","-"
"868","SNNP","Soyama","January","2018","5.7","37.88333333","9.91","8.05","-","-","-","-","-","-"
"869","SNNP","Karate","January","2018","5.25","37.48333333","14.76","-","-","-","-","-","-","-"
"870","SNNP","Gidola","January","2018","37.34772952","5.647078098","11.96","-","13.18","-","14.46","-","-","-"
"871","SNNP","Tercha","January","2018","37.175334","7.146295","18.00","16.00","14.00","-","-","-","-","-"
"872","SNNP","Besite- chere ","January","2018",NA,NA,"18.00","15.00","17.00","-","-","-","-","-"
"873","SNNP","Lasoka","January","2018","36.60777815","6.30774507","10.00","-","9.62","-","19.23","-","-","15.63"
"874","SNNP","Amaya","January","2018","36.68000727","7.105541206","10.46","10.45","10.49","-","-","-","-","-"
"875","SNNP","Shewa- Bench ","July","2017",NA,NA,"13.00","10.00","12.00","-","-","-","-","22.23"
"876","SNNP","Mizan- Teferi ","July","2017","35.41120174","6.883477024","12.00","-","9.49","-","-","-","-","20.00"
"877","SNNP","Deri","July","2017","36.28577951","7.384839762","14.12","13.64","13.96","-","-","-","-","22.24"
